Family	Latin	Author
Acanthaceae	Aphelandra cuatrecasasii	Leonard
Acanthaceae	Justicia colorifera	V.A.W. Graham
Acanthaceae	Justicia metallica	Lindau
Acanthaceae	Mendoncia lindavii	Rusby
Acanthaceae	Ruellia terminalis	(Nees) Wassh.
Acanthaceae	Thunbergia alata	Bojer ex Sims
Achariaceae	Caloncoba gilgiana	(Sprague) Gilg
Achariaceae	Carpotroche surinamensis	Uittien
Amaranthaceae	Alternanthera pubiflora	(Benth.) Kuntze
Amaranthaceae	Amaranthus hypochondriacus	L.
Amaryllidaceae	Amaryllis belladonna	L.
Anacardiaceae	Mangifera indica	L.
Anacardiaceae	Spondias dulcis	Parkinson
Annonaceae	Annona billbergii	R.E. Fr.
Annonaceae	Annona palmeri	Saff.
Annonaceae	Annona reticulata	L.
Annonaceae	Annona spraguei	Saff.
Annonaceae	Cananga odorata	NA
Annonaceae	Cremastosperma pacificum	R.E. Fr.
Annonaceae	Cymbopetalum brasiliense	(Vell.) Benth. ex Baill.
Annonaceae	Desmopsis schippii	Standl.
Annonaceae	Guatteria dolichopoda	Donn. Sm.
Annonaceae	Stelechocarpus burahol	(Blume) Hook. f. & Thomson
Annonaceae	Unonopsis costaricensis	R.E. Fr.
Annonaceae	Unonopsis floribunda	Diels
Annonaceae	Unonopsis pittieri	Saff.
Apiaceae	Daucus carota	L.
Apocynaceae	Aspidosperma curranii	Standl.
Apocynaceae	Aspidosperma cuspa	(Kunth) S.F. Blake ex Pittier
Apocynaceae	Aspidosperma desmanthum	Benth. ex Müll. Arg.
Apocynaceae	Aspidosperma spruceanum	Benth. ex Müll. Arg.
Apocynaceae	Calotropis procera	(Aiton) W.T. Aiton
Apocynaceae	Catharanthus roseus	(L.) G. Don
Apocynaceae	Cryptostegia madagascariensis	Bojer ex Decne.
Apocynaceae	Forsteronia spicata	(Jacq.) G.Mey.
Apocynaceae	Macoubea guianensis	Aubl.
Apocynaceae	Malouetia cuatrecasatis	Woodson
Apocynaceae	Nerium oleander	L.
Apocynaceae	Plumeria inodora	Jacq.
Apocynaceae	Rauvolfia macrantha	K. Schum. ex Markgr.
Apocynaceae	Tabernaemontana columbiensis	(L. Allorge) Leeuwenb.
Apocynaceae	Tabernaemontana contorta	Stapf
Apocynaceae	Tabernaemontana divaricata	(L.) R. Br. ex Roem. & Schult.
Apocynaceae	Tabernaemontana flavicans	Willd. ex Roem. & Schult.
Apocynaceae	Tabernaemontana pandacaqui	Poir.
Apocynaceae	Tabernaemontana sananho	Ruiz & Pav.
Apodanthaceae	Pilostyles blanchetii	(Gardner) R. Br.
Araceae	Anthurium clarinervium	Matuda
Araceae	Anthurium interruptum	Sodiro
Araceae	Anthurium pallidiflorum	Engl.
Araceae	Anthurium trinerve	Miq.
Araceae	Dracontium soconuscum	Matuda
Araceae	Monstera dubia	(Kunth) Engl. & K. Krause
Araceae	Philodendron aurantiifolium	(K. Krause) Grayum
Araceae	Philodendron jodavisianum	G.S. Bunting
Araceae	Spathiphyllum matudae	G.S. Bunting
Araceae	Stenospermation marantifolium	Hemsl.
Araceae	Stenospermation robustum	Engl.
Araceae	Xanthosoma helleborifolium	(Jacq.) Schott
Araliaceae	Dendropanax gonatopodus	(Donn. Sm.) A.C. Sm.
Araliaceae	Dendropanax maritimus	M.J. Cannon & Cannon
Araliaceae	Dendropanax panamensis	M.J. Cannon & Cannon
Araliaceae	Polyscias guilfoylei	(W. Bull) L.H. Bailey
Araucariaceae	Araucaria araucana	(Molina) K. Koch
Araucariaceae	Araucaria columnaris	(J.R. Forst.) Hook.
Arecaceae	Acoelorrhaphe wrightii	(Griseb. & H.Wendl.) H.Wendl. ex Becc.
Arecaceae	Aiphanes horrida	(Jacq.) Burret
Arecaceae	Areca triandra	Roxb. ex Buch.-Ham.
Arecaceae	Attalea cohune	Mart.
Arecaceae	Attalea tessmannii	Burret
Arecaceae	Bactris gasipaes	Kunth
Arecaceae	Bactris militaris	H.E. Moore
Arecaceae	Bentinckia nicobarica	(Kurz) Becc.
Arecaceae	Caryota urens	L.
Arecaceae	Chamaedorea arenbergiana	H. Wendl.
Arecaceae	Chamaedorea linearis	(Ruiz & Pav.) Mart.
Arecaceae	Clinostigma eriostachys	Becc.
Arecaceae	Cocos nucifera	L.
Arecaceae	Cryosophila grayumii	R.J.Evans
Arecaceae	Deckenia nobilis	H.Wendl. ex Seem.
Arecaceae	Dictyosperma album	(Bory) H.L. Wendl. & Drude ex Scheff.
Arecaceae	Dypsis lutescens	(H. Wendl.) Beentje & J. Dransf.
Arecaceae	Elaeis guineensis	Jacq.
Arecaceae	Geonoma ferruginea	H. Wendl. ex Spruce
Arecaceae	Geonoma macrostachys	Mart.
Arecaceae	Latania loddigesii	Mart.
Arecaceae	Livistona chinensis	(Jacq.) R. Br.
Arecaceae	Mauritia flexuosa	L. f.
Arecaceae	Pelagodoxa henryana	Becc.
Arecaceae	Pholidostachys kalbreyeri	H. Wendl. ex Burret
Arecaceae	Pholidostachys synanthera	(Mart.) H.E. Moore
Arecaceae	Pinanga coronata	(Blume ex Mart.) Blume
Arecaceae	Prestoea schultzeana	(Burret) H.E. Moore
Arecaceae	Prestoea spicata	Henderson & deNevers
Arecaceae	Pritchardia pacifica	Seem. & H. Wendl.
Arecaceae	Ptychosperma elegans	(R. Br.) Blume
Arecaceae	Ptychosperma macarthurii	(H. Wendl. ex H.J. Veitch) H. Wendl. ex Hook. f.
Arecaceae	Roystonea regia	NA
Arecaceae	Sabal palmetto	(Walter) Lodd. ex Schult. & Schult. f.
Arecaceae	Serenoa repens	(W. Bartram) Small
Arecaceae	Thrinax radiata	Lodd. ex Schult. & Schult. f.
Arecaceae	Trithrinax warscewiczii	J.C. Wendl.
Arecaceae	Wettinia hirsuta	Burret
Aristolochiaceae	Aristolochia leuconeura	Linden
Asparagaceae	Cordyline fruticosa	(L.) A. Chev.
Asparagaceae	Maianthemum gigas	NA
Asparagaceae	Sansevieria hyacinthoides	(L.) Druce
Aspleniaceae	Asplenium blepharodes	D.C. Eaton
Aspleniaceae	Asplenium cruegeri	Hieron.
Aspleniaceae	Asplenium dissectum	Sw.
Aspleniaceae	Asplenium pululahuae	Sodiro
Aspleniaceae	Asplenium virillae	Christ
Asteraceae	Baccharis pedunculata	(Mill.) Cabrera
Asteraceae	Calea jamaicensis	(L.) L.
Asteraceae	Chromolaena ivifolia	(L.) R.M. King & H. Rob.
Asteraceae	Comaclinium montanum	(Benth.) Strother
Asteraceae	Emilia fosbergii	Nicolson
Asteraceae	Fleischmannia sideritidis	(Benth.) R.M. King & H. Rob.
Asteraceae	Hieracium irasuense	Benth.
Asteraceae	Hypochaeris radicata	L.
Asteraceae	Jungia ferruginea	L. f.
Asteraceae	Koanophyllon panamensis	R.M.King & H.Rob.
Asteraceae	Lactuca sativa	L.
Asteraceae	Mikania amblyolepis	B.L. Rob.
Asteraceae	Roldana heterogama	(Benth.) H. Rob. & Brettell
Asteraceae	Senecio oerstedianus	Benth.
Asteraceae	Sonchus asper	(L.) Hill
Asteraceae	Sonchus oleraceus	L.
Asteraceae	Tanacetum parthenium	(L.) Sch. Bip.
Asteraceae	Taraxacum officinale	L.
Asteraceae	Verbesina lanata	B.L. Rob. & Greenm.
