Family	Latin	Author	ValidLatin	Scope
Fabaceae	Abarema adenophora	 (Ducke) Barneby & J.W. Grimes	Abarema adenophora	
Fabaceae	Abarema barbouriana	(Standl.) Barneby & J.W. Grimes	Abarema barbouriana	
Fabaceae	Abarema idiopoda	(S.F. Blake) Barneby & J.W. Grimes	Abarema idiopoda	
Fabaceae	Abarema macradenia	(Pittier) Barneby & J.W. Grimes	Abarema macradenia	
Fabaceae	Abarema racemiflora	(Donn. Sm.) Barneby & J.W. Grimes	Abarema racemiflora	
Malvaceae	Abutilon purpusii	Standl.	Callianthe purpusii	everywhere
Fabaceae	Acacia angustissima	(Mill.) Kuntze	Acaciella angustissima	everywhere
Fabaceae	Acacia collinsii	Saff.	Vachellia collinsii	everywhere
Fabaceae	Acacia farnesiana	(L.) Willd.	Vachellia farnesiana	everywhere
Fabaceae	Acacia glomerosa	Benth.	Senegalia polyphylla	everywhere
Fabaceae	Acacia melanoceras	Beurl.	Vachellia melanoceras	everywhere
Fabaceae	Acacia polyphylla	DC.	Senegalia polyphylla	everywhere
Fabaceae	Acacia riparia	Kunth	Senegalia riparia	everywhere
Fabaceae	Acacia ruddiae	D.H. Janzen	Vachellia ruddiae	everywhere
Fabaceae	Acacia villosa	(Sw.) Willd.	Acaciella villosa	everywhere
Fabaceae	Acaciella angustissima	(Mill.) Britton & Rose	Acaciella angustissima	
Fabaceae	Acaciella villosa	(Sw.) Britton & Rose	Acaciella villosa	
Euphorbiaceae	Acalypha costaricensis	(Kuntze) Knobl. ex Pax & K. Hoffm.	Acalypha costaricensis	
Euphorbiaceae	Acalypha cuneata	Poepp.	Acalypha cuneata	
Euphorbiaceae	Acalypha diversifolia	Jacq.	Acalypha diversifolia	
Euphorbiaceae	Acalypha leptopoda	Müll. Arg.	Acalypha leptopoda	
Euphorbiaceae	Acalypha macrostachya	Jacq.	Acalypha macrostachya	
Euphorbiaceae	Acalypha muelleriana	Urb.	Acalypha muelleriana	
Euphorbiaceae	Acalypha obovata	Benth.	Acalypha cuneata	everywhere
Euphorbiaceae	Acalypha villosa	Jacq.	Acalypha villosa	
Cactaceae	Acanthocereus horridus	NA	Acanthocereus tetragonus	everywhere
Cactaceae	Acanthocereus pentagonus	(L.) Britton & Rose	Acanthocereus tetragonus	everywhere
Cactaceae	Acanthocereus tetragonus	(L.) Hummelinck	Acanthocereus tetragonus	
Polygalaceae	Acanthocladus dukei	(Barringer) J.F.B. Pastore & D. Cardoso	Acanthocladus dukei	
Sapotaceae	Achras calcicola	Pittier	Manilkara chicle	everywhere
Sapotaceae	Achras chicle	Pittier	Manilkara chicle	everywhere
Euphorbiaceae	Acidoton nicaraguensis	(Hemsl.) G.L. Webster	Gitara nicaraguensis	everywhere
Fabaceae	Acosmium panamense	(Benth.) Yakovlev	Leptolobium panamense	everywhere
Arecaceae	Acrocomia aculeata	(Jacq.) Lodd. ex Mart.	Acrocomia aculeata	
Arecaceae	Acrocomia panamensis	L.H. Bailey	Acrocomia aculeata	everywhere
Arecaceae	Acrocomia sclerocarpa	NA	Acrocomia aculeata	everywhere
Euphorbiaceae	Actinostemon caribaeus	Griseb.	Actinostemon concolor	everywhere
Euphorbiaceae	Actinostemon concolor	(Spreng.) Müll. Arg.	Actinostemon concolor	
Euphorbiaceae	Adelia panamensis	Pax & K. Hoffm.	Adelia triloba	everywhere
Euphorbiaceae	Adelia triloba	(Müll. Arg.) Hemsl.	Adelia triloba	
Melastomataceae	Adelobotrys panamensis	Almeda	Adelobotrys panamensis	
Lythraceae	Adenaria floribunda	Kunth	Adenaria floribunda	
