Family	Latin	Author	countries	minLat	maxLat	minLong	maxLong	Npan	N	range	plots	dens	inventories	maxht
Acanthaceae	Aphelandra campanensis	Durkee	2	7.45	10.45	-83.8	-77.4	109	115	46.74	0	0	5	3.5
Acanthaceae	Aphelandra golfodulcensis	McDade	3	8.19166	11.6666667	-84.8333	-82.8666667	7	115	38.72	0	0	0	6
Acanthaceae	Aphelandra gracilis	Leonard	1	8.087778	9.4083333	-81.1216667	-77.71666	71	71	26.05	0	0	3	3
Acanthaceae	Aphelandra hartwegiana	Nees	2	5.066389	9.5	-80.6	-74.3353	34	77	153	0	0	0	4
Acanthaceae	Aphelandra laxa	Durkee	1	8.575	9.38333	-79.38416	-77.45833	7	7	4.24	0	0	0	NA
Acanthaceae	Aphelandra leonardii	McDade	12	-12.7833333	11.45	-84.539111	-52.8731	69	293	6251	0	0	0	5
Acanthaceae	Aphelandra lingua-bovis	Leonard	3	4.303336	10	-84.8333	-74.174683	32	175	199	0	0	0	3.5
Acanthaceae	Aphelandra micans	Moritz ex Vatke	2	7.0758	10.3494444	-78.33666	-65.9119	3	8	229	0	0	0	NA
Acanthaceae	Aphelandra panamensis	McDade	2	6.08333	9.45	-81.1713889	-77.09722	53	58	47.4	0	0	0	NA
Acanthaceae	Aphelandra pilosa	Leonard	4	-0.57916	9.6447	-78.9444444	-62.4308	3	83	1436	0	0	0	3
Acanthaceae	Aphelandra scabra	(Vahl) Sm.	12	0.25	23.6166667	-105.332153	-54.3833333	170	1995	3420	4	12.140625	7	3.5
Acanthaceae	Aphelandra scolnikiae	Leonard	2	5.95	8.075	-77.2333333	-75.48333	2	16	5.39	0	0	0	NA
Acanthaceae	Aphelandra sinclairiana	Nees	4	7.41666	11.6	-85.0511	-68.254486	129	165	235	5	1.56583333333333	5	6
Acanthaceae	Aphelandra terryae	Standl.	2	2.18008	9.35	-78.9833333	-72.8667	28	48	318	0	0	0	4
Acanthaceae	Avicennia bicolor	Standl.	8	3.9922	17.5	-96.75	-77.2375	19	88	347	0	0	1	NA
Acanthaceae	Avicennia germinans	(L.) L.	34	-23.2406	32.534722	-117.035833	-34.7992	38	1656	14388	0	0	4	NA
Acanthaceae	Bravaisia integerrima	(Spreng.) Standl.	10	2.30207	23.95056	-104.633333	-60.9158	12	502	2508	0	0	0	20
Acanthaceae	Trichanthera gigantea	(Bonpl.) Nees	12	-22.9056	13.31	-88.25	-45.9075	72	539	9012	1	0.0015530303030303	7	17
Achariaceae	Carpotroche longifolia	(Poepp.) Benth.	9	-17.0869	9.5492	-81.8333334	-49.1375	7	540	7170	0	0	0	NA
Achariaceae	Carpotroche platyptera	Pittier	7	-4.2797	15.73333	-90.5	-76.8942	90	388	577	0	0	0	10
Achariaceae	Lindackeria laurina	C. Presl	9	1.0942	17.5	-96.75	-65.9119	195	486	1507	31	3.04015151515152	35	15
Achariaceae	Mayna grandifolia	(H. Karst.) Warb.	6	-11.78555	11.3161	-82.1145	-65.2194	31	200	3000	0	0	7	NA
Achariaceae	Mayna odorata	Aubl.	14	-16.3833333	15	-90.5	-50.79722	92	867	7347	2	0.651041666666667	4	8
Actinidiaceae	Saurauia montana	Seem.	5	8.516667	16.1225	-93.501944	-80.6597222	29	339	305	0	0	0	15
Actinidiaceae	Saurauia pittieri	Donn. Sm.	2	8.485	10.433333	-84.816667	-81.093333	17	108	24.81	0	0	0	NA
Actinidiaceae	Saurauia rubiformis	Vatke	6	8.5	17.5	-96.75	-82.23333	15	147	408	0	0	0	15
Actinidiaceae	Saurauia seibertii	Standl.	2	8.485	9.1663889	-82.8506	-81.7689	16	17	1.71	0	0	0	25
Actinidiaceae	Saurauia yasicae	Loes.	11	-10.6	19.211667	-98.756667	-68.7536	88	583	2318	6	0.597728543827537	16	30
Adoxaceae	Sambucus nigra	L.	23	-36.725	51.86911	-123.2333333	-55.611985	20	794	13025	0	0	0	4
Adoxaceae	Sambucus peruviana	Kunth	10	-36.725	17.88333	-96.36666	-54.95	23	135	6081	0	0	0	20
Adoxaceae	Viburnum costaricanum	(Oerst.) Hemsl.	2	8.4905555	10.930556	-85.5361111	-81.7658333	105	412	35.9	0	0	0	15
Adoxaceae	Viburnum stellatotomentosum	(Oerst.) Hemsl.	2	8.75944	10.3025	-84.82527	-82.4139	14	83	9.61	0	0	0	8
Adoxaceae	Viburnum venustum	C.V. Morton	2	8.7833333	10.93269	-85.4588	-82.35	11	109	16.34	0	0	0	NA
Alzateaceae	Alzatea verticillata	Ruiz & Pav.	6	-16.7261	10.3333333	-84.8333333	-64.435	29	202	2511	0	0	0	20
Amaranthaceae	Pleuropetalum pleiogynum	(Kuntze) Standl.	8	-14.3311111	14.41667	-89.98333	-68.5555556	21	181	2266	0	0	0	NA
