"taxon_code","gbif_accepted_taxon_id","gbif_accepted_scientific_name","habit"
"Abrus",2943776,"Abrus",""
"Abuta",7268654,"Abuta",""
"Abuta racemosa-ABUTRA-ABUR",7349979,"Abuta racemosa","Climbing"
"Acacia",2978223,"Acacia",""
"Acaciella",6627713,"Acaciella",""
"Acalypha",3055964,"Acalypha",""
"Acalypha diversifolia-ACALDI-ACAD",3056298,"Acalypha diversifolia","Freestanding"
"Acalypha macrostachya-ACALMA-ACA2",3056437,"Acalypha macrostachya","Freestanding"
"Acanthaceae",2393,"Acanthaceae",""
"Acanthocladus",7293501,"Acanthocladus",""
"Achariaceae",3231308,"Achariaceae",""
"Acrocomia",2739147,"Acrocomia",""
"Acrocomia aculeata-ACROPA-ACRA",7413879,"Acrocomia aculeata","Freestanding"
"Actinidiaceae",2385,"Actinidiaceae",""
"Actinostemon",8265757,"Actinostemon",""
"Adelia",3072378,"Adelia",""
"Adelia triloba-ADE1TR-ADET",5380432,"Adelia triloba","Freestanding"
"Adelobotrys",3860441,"Adelobotrys",""
"Adelobotrys adscendens-ADELAD-ADE1",3860874,"Adelobotrys adscendens","Climbing"
"Adelphia",3231255,"Adelphia",""
"Adelphia hiraea-MASCHI-MASH",5635040,"Adelphia hiraea","Climbing"
"Adenanthera",2951839,"Adenanthera",""
"Adenaria",7286104,"Adenaria",""
"Adenaria floribunda-ADENFL",7286112,"Adenaria floribunda","Freestanding"
"Adenocalymma",10767005,"Adenocalymma",""
"Adenocalymma arthropetiolatum-ADE3AR",4092999,"Adenocalymma arthropetiolatum","Climbing"
"Adenophaedra",3061263,"Adenophaedra",""
"Adonidia",2738433,"Adonidia",""
"Aegiphila",9156446,"Aegiphila",""
"Aegiphila cephalophora-AEGICE-AEGC",3893257,"Aegiphila cephalophora","Climbing"
"Aegiphila deppeana-AEGIDE",3892963,"Aegiphila deppeana","Climbing"
"Aegiphila elata-AEGIEL-AEGE",2925469,"Aegiphila elata","Climbing"
"Aegiphila panamensis-AEGIPA-AEGP",3891222,"Aegiphila panamensis","Freestanding"
"Agonandra",8219051,"Agonandra",""
"Agouticarpa",2898476,"Agouticarpa",""
"Aiouea",3034063,"Aiouea",""
"Aiouea montana-PHOECI-PHOM",9671278,"Aiouea montana","Freestanding"
"Aiphanes",2738638,"Aiphanes",""
"Albizia",2972897,"Albizia",""
"Alchornea",3055345,"Alchornea",""
"Alchornea costaricensis-ALCHCO-ALCC",3055427,"Alchornea costaricensis","Freestanding"
"Alchornea latifolia-ALCHLA-ALCL",3055359,"Alchornea latifolia","Freestanding"
"Alchorneopsis",7410955,"Alchorneopsis",""
"Alfaroa",7310533,"Alfaroa",""
"Alibertia",2896652,"Alibertia",""
"Alibertia dwyeri-BOROPA-BORP",7729119,"Alibertia dwyeri","Freestanding"
"Alibertia edulis-ALIBED-ALIE",5335670,"Alibertia edulis","Freestanding"
"Allamanda",3169834,"Allamanda",""
"Allamanda cathartica-ALLACA-ALLC",3169836,"Allamanda cathartica","Climbing"
"Allomarkgrafia",7316765,"Allomarkgrafia",""
"Allophylus",3189992,"Allophylus",""
"Allophylus psilospermus-ALLOPS-ALLP",5577078,"Allophylus psilospermus","Freestanding"
"Alnus",2876099,"Alnus",""
"Alseis",2894134,"Alseis",""
"Alseis blackiana-ALSEBL-ALSB",5334873,"Alseis blackiana","Freestanding"
"Alstonia",8412045,"Alstonia",""
"Alzatea",3188751,"Alzatea",""
"Alzateaceae",5909,"Alzateaceae",""
"Amaioua",2901120,"Amaioua",""
"Amaioua glomerulata-AMAICO-AMAC",7686451,"Amaioua glomerulata","Freestanding"
"Amanoa",3080039,"Amanoa",""
"Ampelocera",7303603,"Ampelocera",""
"Ampelocissus",7293766,"Ampelocissus",""
"Amphilophium",3172588,"Amphilophium",""
"Amphilophium crucigerum-AMP3CR-PITC",4931838,"Amphilophium crucigerum","Climbing"
"Amphilophium paniculatum-AMP3PA-AMPP",3172589,"Amphilophium paniculatum","Climbing"
"Amphirrhox",7296364,"Amphirrhox",""
"Amphitecna",3172582,"Amphitecna",""
"Amyris",3190177,"Amyris",""
"Anacardiaceae",2398,"Anacardiaceae",""
"Anacardium",5421367,"Anacardium",""
"Anacardium excelsum-ANACEX-ANAE",5544303,"Anacardium excelsum","Freestanding"
"Anacardium occidentale-ANACOC-ANAO",5421368,"Anacardium occidentale","Freestanding"
"Anaxagorea",8275519,"Anaxagorea",""
"Anaxagorea panamensis-ANAXPA-ANAP",3156864,"Anaxagorea panamensis","Freestanding"
"Ancistrotropis",8264243,"Ancistrotropis",""
"Ancistrotropis peduncularis-VIGNPE-PHA1",7484829,"Ancistrotropis peduncularis","Climbing"
"Andesanthus",10783250,"Andesanthus",""
"Andira",7858091,"Andira",""
"Andira inermis-ANDIIN-ANDI",2952214,"Andira inermis","Freestanding"
"Anechites",3169616,"Anechites",""
"Anemopaegma",3172463,"Anemopaegma",""
"Anemopaegma chrysoleucum-ANEMC1",4093499,"Anemopaegma chrysoleucum","Climbing"
"Angostura",7911749,"Angostura",""
"Aniba",3034086,"Aniba",""
"Aniseia",2928409,"Aniseia",""
"Aniseia luxurians-ISEILU-ISEL",9730688,"Aniseia luxurians","Climbing"
"Aniseia martinicensis-ANISMA",2928410,"Aniseia martinicensis","Climbing"
"Annona",3155252,"Annona",""
"Annona acuminata-ANNOAC-ANNA",5407198,"Annona acuminata","Freestanding"
"Annona glabra-ANNOGL-ANNG",5407100,"Annona glabra","Freestanding"
"Annona hayesii-ANNOHA-ANNH",7539280,"Annona hayesii","Freestanding"
"Annona muricata-ANNOMU-ANNM",5407273,"Annona muricata","Freestanding"
"Annona purpurea-ANNOPU",5407091,"Annona purpurea","Freestanding"
"Annona spraguei-ANNOSP-ANNS",5407072,"Annona spraguei","Freestanding"
"Annonaceae",9291,"Annonaceae",""
"Anomospermum",3234330,"Anomospermum",""
"Anthodiscus",3231310,"Anthodiscus",""
"Anthodon",3231386,"Anthodon",""
"Anthodon panamense-ANT2PA-ANTP",5579479,"Anthodon decussatum","Climbing"
"Anthopterus",7328432,"Anthopterus",""
"Aparisthmium",3072467,"Aparisthmium",""
"Apeiba",3152049,"Apeiba",""
