"sp6","sp6curr","sp6prior","sp4","Current_order","Current_family","Current_name","Current_name_author","synonyms","vouchers","habit","Accepted_name","Accepted_name_author","Accepted_name_rank","Accepted_family","currnamechanged","sp6changed","acceptednamedif","notes","gbif_accepted_scientific_name","gbif_accepted_taxon_id","taxon_code"
"abutra","abutra",NA,"ABUR","Ranunculales","Menispermaceae","Abuta racemosa","(Thunb.) Triana & Planch.",NA,"R. Pérez 2012 (PMA, SCZ)","Climbing","Abuta racemosa","Triana & Planch.","species","Menispermaceae",FALSE,NA,FALSE,NA,"Abuta racemosa",7349979,"Abuta racemosa-ABUTRA-ABUR"
"acaldi","acaldi","acaldi","ACAD","Malpighiales","Euphorbiaceae","Acalypha diversifolia","Jacq.",NA,"R. Pérez 1780 (PMA, SCZ)","Freestanding","Acalypha diversifolia","Jacq.","species","Euphorbiaceae",FALSE,FALSE,FALSE,NA,"Acalypha diversifolia",3056298,"Acalypha diversifolia-ACALDI-ACAD"
"acalma","acalma","acalma","ACA2","Malpighiales","Euphorbiaceae","Acalypha macrostachya","Jacq.",NA,"R. Pérez 1854 (PMA, SCZ)","Freestanding","Acalypha macrostachya","Jacq.","species","Euphorbiaceae",FALSE,FALSE,FALSE,NA,"Acalypha macrostachya",3056437,"Acalypha macrostachya-ACALMA-ACA2"
"acropa","acropa","acropa","ACRA","Arecales","Arecaceae","Acrocomia aculeata","(Jacq.) Lodd. ex R.Keith","Acrocomia panamensis",NA,"Freestanding","Acrocomia aculeata","(Jacq.) Lodd. ex R.Keith","species","Arecaceae",FALSE,FALSE,FALSE,NA,"Acrocomia aculeata",7413879,"Acrocomia aculeata-ACROPA-ACRA"
"ade1tr","ade1tr","ade1tr","ADET","Malpighiales","Euphorbiaceae","Adelia triloba","(Müll. Arg.) Hemsl.",NA,"R. Pérez 1858 (PMA, SCZ)","Freestanding","Adelia triloba","(Müll.Arg.) Hemsl.","species","Euphorbiaceae",FALSE,FALSE,FALSE,NA,"Adelia triloba",5380432,"Adelia triloba-ADE1TR-ADET"
"adelad","adelad",NA,"ADE1","Myrtales","Melastomataceae","Adelobotrys adscendens","(Sw.) Triana",NA,NA,"Climbing","Adelobotrys adscendens","(Sw.) Triana","species","Melastomataceae",FALSE,NA,FALSE,NA,"Adelobotrys adscendens",3860874,"Adelobotrys adscendens-ADELAD-ADE1"
"maschi","maschi",NA,"MASH","Malpighiales","Malpighiaceae","Adelphia hiraea","(Gaertn.) W.R. Anderson","Mascagnia hippocrateoides","R. Pérez 1990 y 2002 (PMA, SCZ)","Climbing","Adelphia hiraea","(Gaertn.) W.R.Anderson","species","Malpighiaceae",FALSE,NA,FALSE,NA,"Adelphia hiraea",5635040,"Adelphia hiraea-MASCHI-MASH"
"adenfl","adenfl","adenfl",NA,"Myrtales","Lythraceae","Adenaria floribunda","Kunth",NA,NA,"Freestanding","Adenaria floribunda","Kunth","species","Lythraceae",FALSE,FALSE,FALSE,NA,"Adenaria floribunda",7286112,"Adenaria floribunda-ADENFL"
"ade3ar","ade3ar",NA,NA,"Lamiales","Bignoniaceae","Adenocalymma arthropetiolatum","A.H. Gentry",NA,NA,"Climbing","Adenocalymma arthropetiolatum","A.H.Gentry","species","Bignoniaceae",FALSE,NA,FALSE,NA,"Adenocalymma arthropetiolatum",4092999,"Adenocalymma arthropetiolatum-ADE3AR"
"aegice","aegice",NA,"AEGC","Lamiales","Lamiaceae","Aegiphila cephalophora","Standl.",NA,"R. Pérez 1786 (PMA, SCZ)","Climbing","Aegiphila cephalophora","Standl.","species","Lamiaceae",FALSE,NA,FALSE,NA,"Aegiphila cephalophora",3893257,"Aegiphila cephalophora-AEGICE-AEGC"
"aegide","aegide",NA,NA,"Lamiales","Lamiaceae","Aegiphila deppeana","Steud.",NA,NA,"Climbing","Aegiphila deppeana","Steud.","species","Lamiaceae",FALSE,NA,FALSE,NA,"Aegiphila deppeana",3892963,"Aegiphila deppeana-AEGIDE"
"aegiel","aegiel",NA,"AEGE","Lamiales","Lamiaceae","Aegiphila elata","Sw.",NA,"R. Pérez 1989 (PMA, SCZ)","Climbing","Aegiphila elata","Sw.","species","Lamiaceae",FALSE,NA,FALSE,NA,"Aegiphila elata",2925469,"Aegiphila elata-AEGIEL-AEGE"
"aegipa","aegipa","aegipa","AEGP","Lamiales","Lamiaceae","Aegiphila panamensis","Moldenke","Aegiphila glandulifera","R. Pérez 1875","Freestanding","Aegiphila panamensis","Moldenke","species","Lamiaceae",FALSE,FALSE,FALSE,NA,"Aegiphila panamensis",3891222,"Aegiphila panamensis-AEGIPA-AEGP"
"phoeci","phoeci",NA,"PHOM","Laurales","Lauraceae","Aiouea montana","(Sw.) R. Rohde","Cinnamomum triplinerve",NA,"Freestanding","Aiouea montana","(Sw.) R.Rohde","species","Lauraceae",FALSE,NA,FALSE,NA,"Aiouea montana",9671278,"Aiouea montana-PHOECI-PHOM"
"alchco","alchco","alchco","ALCC","Malpighiales","Euphorbiaceae","Alchornea costaricensis","Pax & K. Hoffm.",NA,"R. Pérez 1922 (PMA, SCZ)","Freestanding","Alchornea costaricensis","Pax & K.Hoffm.","species","Euphorbiaceae",FALSE,FALSE,FALSE,NA,"Alchornea costaricensis",3055427,"Alchornea costaricensis-ALCHCO-ALCC"
"alchla","alchla","alchla","ALCL","Malpighiales","Euphorbiaceae","Alchornea latifolia","Sw.",NA,"R. Pérez 2265 (PMA, SCZ)","Freestanding","Alchornea latifolia","Sw.","species","Euphorbiaceae",FALSE,FALSE,FALSE,NA,"Alchornea latifolia",3055359,"Alchornea latifolia-ALCHLA-ALCL"
