taxon_code,gbif_accepted_taxon_id,gbif_accepted_scientific_name,habit
Acalypha diversifolia-ACALDI-ACAD,3056298,Acalypha diversifolia,Freestanding
Acalypha macrostachya-ACALMA-ACA2,3056437,Acalypha macrostachya,Freestanding
Acrocomia aculeata-ACROPA-ACRA,7413879,Acrocomia aculeata,Freestanding
Adelia triloba-ADE1TR-ADET,5380432,Adelia triloba,Freestanding
Adenaria floribunda-ADENFL,7286112,Adenaria floribunda,Freestanding
Aegiphila panamensis-AEGIPA-AEGP,3891222,Aegiphila panamensis,Freestanding
Aiouea montana-PHOECI-PHOM,9671278,Aiouea montana,Freestanding
Alchornea costaricensis-ALCHCO-ALCC,3055427,Alchornea costaricensis,Freestanding
Alchornea latifolia-ALCHLA-ALCL,3055359,Alchornea latifolia,Freestanding
Alibertia dwyeri-BOROPA-BORP,7729119,Alibertia dwyeri,Freestanding
Alibertia edulis-ALIBED-ALIE,5335670,Alibertia edulis,Freestanding
Allophylus psilospermus-ALLOPS-ALLP,5577078,Allophylus psilospermus,Freestanding
Alseis blackiana-ALSEBL-ALSB,5334873,Alseis blackiana,Freestanding
Amaioua glomerulata-AMAICO-AMAC,7686451,Amaioua glomerulata,Freestanding
Anacardium excelsum-ANACEX-ANAE,5544303,Anacardium excelsum,Freestanding
Anacardium occidentale-ANACOC-ANAO,5421368,Anacardium occidentale,Freestanding
Anaxagorea panamensis-ANAXPA-ANAP,3156864,Anaxagorea panamensis,Freestanding
Andira inermis-ANDIIN-ANDI,2952214,Andira inermis,Freestanding
Annona acuminata-ANNOAC-ANNA,5407198,Annona acuminata,Freestanding
Annona glabra-ANNOGL-ANNG,5407100,Annona glabra,Freestanding
Annona hayesii-ANNOHA-ANNH,7539280,Annona hayesii,Freestanding
Annona muricata-ANNOMU-ANNM,5407273,Annona muricata,Freestanding
Annona purpurea-ANNOPU,5407091,Annona purpurea,Freestanding
Annona spraguei-ANNOSP-ANNS,5407072,Annona spraguei,Freestanding
Apeiba membranacea-APEIME-APEM,4260481,Apeiba membranacea,Freestanding
Apeiba tibourbou-APEITI-APET,3152052,Apeiba tibourbou,Freestanding
Aphelandra sinclairiana-APHESI-APHS,3776906,Aphelandra sinclairiana,Freestanding
Araucaria columnaris-ARAUCO,2684921,Araucaria columnaris,Freestanding
Ardisia bartletii-ARDIBA-ARDB,7330940,Ardisia bartletii,Freestanding
Ardisia colombiana-ARDICO,5557236,Ardisia colombiana,Freestanding
Ardisia copeyana-ARDIFE-ARDF,5558881,Ardisia copeyana,Freestanding
Ardisia fruticosa-ARDIFR,5558487,Ardisia fruticosa,Freestanding
Ardisia guianensis-ARDIGU-ARDG,5558301,Ardisia guianensis,Freestanding
Ardisia opaca-ARDIOP,5558709,Ardisia opaca,Freestanding
Ardisia pellucida-ARDIPE-ARDP,7331109,Ardisia pellucida,Freestanding
Ardisia subsessilifolia-ARDIS2,5557580,Ardisia subsessilifolia,Freestanding
Artocarpus altilis-ARTOAL,2984573,Artocarpus altilis,Freestanding
Aspidosperma desmanthum-ASPICR-ASPC,3618792,Aspidosperma desmanthum,Freestanding
Aspidosperma excelsum-ASPIEX,3618555,Aspidosperma excelsum,Freestanding
Astrocaryum standleyanum-AST1ST-ASTS,2738130,Astrocaryum standleyanum,Freestanding
Astronium graveolens-AST2GR-ASTG,7321588,Astronium graveolens,Freestanding
Attalea butyracea-SCH1ZO-ATTB,2732721,Attalea butyracea,Freestanding
Averrhoa carambola-AVERCA,2891641,Averrhoa carambola,Freestanding
