"taxon_code","gbif_accepted_taxon_id","gbif_accepted_scientific_name","habit"
"Abrus",2943776,"Abrus",""
"Abrus precatorius-ABRUPR",5348711,"Abrus precatorius","Climbing"
"Abuta",7268654,"Abuta",""
"Abuta dwyeriana-ABUTDW-ABUD",7420972,"Abuta dwyeriana","Climbing"
"Abuta panamensis-ABUTPA-ABUP",3830289,"Abuta panamensis","Climbing"
"Abuta racemosa-ABUTRA-ABUR",7349979,"Abuta racemosa","Climbing"
"Acacia",2978223,"Acacia",""
"Acacia auriculiformis-ACACAU",2981001,"Acacia auriculiformis","Freestanding"
"Acacia mangium-ACACMA",2979091,"Acacia mangium","Freestanding"
"Acaciella",6627713,"Acaciella",""
"Acaciella angustissima-ACACAN",2981071,"Acaciella angustissima","Freestanding"
"Acaciella glauca-ACACGL-ACAG",3794870,"Acaciella glauca","Freestanding"
"Acaciella villosa",2979199,"Acaciella villosa","Freestanding"
"Acalypha",3055964,"Acalypha",""
"Acalypha costaricensis-ACALCO",3057350,"Acalypha costaricensis","Freestanding"
"Acalypha cuneata-ACALCU",3056769,"Acalypha cuneata","Freestanding"
"Acalypha diversifolia-ACALDI-ACAD",3056298,"Acalypha diversifolia","Freestanding"
"Acalypha leptopoda-ACALLE",3056654,"Acalypha leptopoda","Freestanding"
"Acalypha macrostachya-ACALMA-ACA2",3056437,"Acalypha macrostachya","Freestanding"
"Acalypha muelleriana",3055984,"Acalypha muelleriana","Freestanding"
"Acalypha poiretii-ACALVI",3056633,"Acalypha poiretii","Freestanding"
"Acalypha wilkesiana-ACALWI-ACAW",3057221,"Acalypha wilkesiana","Freestanding"
"Acanthaceae",2393,"Acanthaceae",""
"Acanthocladus",7293501,"Acanthocladus",""
"Acanthocladus dukei-ACA1DU",7667970,"Acanthocladus dukei","Freestanding"
"Achariaceae",3231308,"Achariaceae",""
"Acrocomia",2739147,"Acrocomia",""
"Acrocomia aculeata-ACROPA-ACRA",7413879,"Acrocomia aculeata","Freestanding"
"Actinidiaceae",2385,"Actinidiaceae",""
"Actinostemon",8265757,"Actinostemon",""
"Actinostemon concolor-ACTICO",3063147,"Actinostemon concolor","Freestanding"
"Adelia",3072378,"Adelia",""
"Adelia triloba-ADE1TR-ADET",5380432,"Adelia triloba","Freestanding"
"Adelobotrys",3860441,"Adelobotrys",""
"Adelobotrys adscendens-ADELAD-ADE1",3860874,"Adelobotrys adscendens","Climbing"
"Adelphia",3231255,"Adelphia",""
"Adelphia hiraea-MASCHI-MASH",5635040,"Adelphia hiraea","Climbing"
"Adenanthera",2951839,"Adenanthera",""
"Adenanthera pavonina-ADE2PA",2951846,"Adenanthera pavonina","Freestanding"
"Adenaria",7286104,"Adenaria",""
"Adenaria floribunda-ADENFL",7286112,"Adenaria floribunda","Freestanding"
"Adenocalymma",10767005,"Adenocalymma",""
"Adenocalymma arthropetiolatum-ADE3AR",4092999,"Adenocalymma arthropetiolatum","Climbing"
"Adenocalymma chocoense-ADE3CH",7513343,"Adenocalymma chocoense","Climbing"
"Adenocalymma inundatum-ADE3IN-ADE2",7298432,"Adenocalymma inundatum","Climbing"
"Adenophaedra",3061263,"Adenophaedra",""
"Adenophaedra grandifolia-ADE5GR",3061267,"Adenophaedra grandifolia","Freestanding"
"Adonidia",2738433,"Adonidia",""
"Adonidia merrillii-VEITME",2738434,"Adonidia merrillii","Freestanding"
"Aegiphila",9156446,"Aegiphila",""
"Aegiphila anomala-AEGIAN",3893596,"Aegiphila anomala","Freestanding"
"Aegiphila cephalophora-AEGICE-AEGC",3893257,"Aegiphila cephalophora","Climbing"
"Aegiphila costaricensis-AEGICO",3893093,"Aegiphila costaricensis","Freestanding"
"Aegiphila deppeana-AEGIDE",3892963,"Aegiphila deppeana","Climbing"
"Aegiphila elata-AEGIEL-AEGE",2925469,"Aegiphila elata","Climbing"
"Aegiphila falcata-AEGIFA",3892843,"Aegiphila falcata","Climbing"
"Aegiphila filipes-AEGIFI",3892742,"Aegiphila filipes","Freestanding"
"Aegiphila hirsutissima",3892328,"Aegiphila hirsutissima","Freestanding"
"Aegiphila hoehnei",7784548,"Aegiphila hoehnei","Freestanding"
"Aegiphila integrifolia-AEGIIN",2925468,"Aegiphila integrifolia","Freestanding"
"Aegiphila laeta-AEGILA",3892099,"Aegiphila laeta","Freestanding"
"Aegiphila laevis-AEGIE1",7802279,"Aegiphila laevis","Climbing"
"Aegiphila martinicensis-AEGIMA",2925466,"Aegiphila martinicensis","Freestanding"
"Aegiphila mollis-AEGIMO",7307838,"Aegiphila mollis","Freestanding"
"Aegiphila odontophylla-AEGIOD",3891316,"Aegiphila odontophylla","Freestanding"
"Aegiphila panamensis-AEGIPA-AEGP",3891222,"Aegiphila panamensis","Freestanding"
"Aegiphila pauciflora-AEGIP1",3891151,"Aegiphila pauciflora","Freestanding"
"Aegiphila valerioi",8103749,"Aegiphila valerioi","Freestanding"
"Agonandra",8219051,"Agonandra",""
"Agonandra brasiliensis-AGONBR",7321376,"Agonandra brasiliensis","Freestanding"
"Agouticarpa",2898476,"Agouticarpa",""
"Agouticarpa curviflora-GENICU",2898485,"Agouticarpa curviflora","Freestanding"
"Agouticarpa williamsii-GENIWI",2898480,"Agouticarpa williamsii","Freestanding"
"Aiouea",3034063,"Aiouea",""
"Aiouea brenesii-CINNBR",9665460,"Aiouea brenesii","Freestanding"
"Aiouea chavarriana-CINNCH",9695833,"Aiouea chavarriana","Freestanding"
"Aiouea hammeliana-CINNHA",9766663,"Aiouea hammeliana","Freestanding"
"Aiouea montana-PHOECI-PHOM",9671278,"Aiouea montana","Freestanding"
"Aiouea pittieri-CINNCO",9700381,"Aiouea pittieri","Freestanding"
"Aiouea tonduzii-CINNTO",9744148,"Aiouea tonduzii","Freestanding"
"Aiphanes",2738638,"Aiphanes",""
"Aiphanes hirsuta-AIPHHI",2738670,"Aiphanes hirsuta","Freestanding"
"Aiphanes horrida-AIPHHO",2738639,"Aiphanes horrida","Freestanding"
"Albizia",2972897,"Albizia",""
"Albizia lebbeck-ALBILE",2973215,"Albizia lebbeck","Freestanding"
"Albizia procera-ALBIPR",2973167,"Albizia procera","Freestanding"
"Alchornea",3055345,"Alchornea",""
"Alchornea costaricensis-ALCHCO-ALCC",3055427,"Alchornea costaricensis","Freestanding"
"Alchornea glandulosa-ALCHGL",3055361,"Alchornea glandulosa","Freestanding"
"Alchornea grandiflora-ALCHG1",3055553,"Alchornea grandiflora","Freestanding"
"Alchornea grandis-ALCHGR",3055423,"Alchornea grandis","Freestanding"
"Alchornea latifolia-ALCHLA-ALCL",3055359,"Alchornea latifolia","Freestanding"
"Alchornea megalophylla-ALCHME",3055552,"Alchornea megalophylla","Freestanding"
"Alchornea triplinervia-ALCHTR",3055511,"Alchornea triplinervia","Freestanding"
"Alchorneopsis",7410955,"Alchorneopsis",""
"Alchorneopsis floribunda-ALC1FL",3055091,"Alchorneopsis floribunda","Freestanding"
"Alfaroa",7310533,"Alfaroa",""
"Alfaroa costaricensis-ALFACO",7310550,"Alfaroa costaricensis","Freestanding"
"Alfaroa williamsii-ALFAWI",7310534,"Alfaroa williamsii","Freestanding"
"Alibertia",2896652,"Alibertia",""
"Alibertia atlantica-ALIBAT",7633099,"Alibertia atlantica","Freestanding"
"Alibertia bertierifolia",5335641,"Alibertia bertierifolia","Freestanding"
"Alibertia dwyeri-BOROPA-BORP",7729119,"Alibertia dwyeri","Freestanding"
"Alibertia edulis-ALIBED-ALIE",5335670,"Alibertia edulis","Freestanding"
"Alibertia patinoi-ALIBPA",7825670,"Alibertia patinoi","Freestanding"
"Allamanda",3169834,"Allamanda",""
"Allamanda cathartica-ALLACA-ALLC",3169836,"Allamanda cathartica","Climbing"
"Allomarkgrafia",7316765,"Allomarkgrafia",""
"Allomarkgrafia brenesiana-ALL1BR",3617720,"Allomarkgrafia brenesiana","Climbing"
"Allomarkgrafia campanulata-ALL1CA",3616456,"Allomarkgrafia campanulata","Climbing"
"Allomarkgrafia plumeriiflora-ALL1PL",3617623,"Allomarkgrafia plumeriiflora","Climbing"
"Allophylus",3189992,"Allophylus",""
"Allophylus gentryi-ALLOGE-ALLG",5577584,"Allophylus gentryi","Freestanding"
"Allophylus psilospermus-ALLOPS-ALLP",5577078,"Allophylus psilospermus","Freestanding"
"Allophylus racemosus-ALLOOC",7373361,"Allophylus racemosus","Freestanding"
"Alnus",2876099,"Alnus",""
"Alnus acuminata-ALNUAC",2876131,"Alnus acuminata","Freestanding"
"Alseis",2894134,"Alseis",""
"Alseis blackiana-ALSEBL-ALSB",5334873,"Alseis blackiana","Freestanding"
"Alstonia",8412045,"Alstonia",""
"Alstonia longifolia-TONDST",5536063,"Tonduzia longifolia","Freestanding"
"Alzatea",3188751,"Alzatea",""
"Alzatea verticillata-ALZAVE",3188752,"Alzatea verticillata","Freestanding"
"Alzateaceae",5909,"Alzateaceae",""
"Amaioua",2901120,"Amaioua",""
"Amaioua glomerulata-AMAICO-AMAC",7686451,"Amaioua glomerulata","Freestanding"
"Amaioua magnicarpa-AMAIMA",2901130,"Amaioua magnicarpa","Freestanding"
"Amaioua pedicellata-AMAIPE",2901143,"Amaioua pedicellata","Freestanding"
"Amanoa",3080039,"Amanoa",""
"Amanoa guianensis-AMANGU",3080049,"Amanoa guianensis","Freestanding"
"Ampelocera",7303603,"Ampelocera",""
"Ampelocera edentula-AMPEED",4160141,"Ampelocera edentula","Freestanding"
"Ampelocera macphersonii-AMPEMA",4160034,"Ampelocera macphersonii","Freestanding"
"Ampelocera macrocarpa",4160017,"Ampelocera macrocarpa","Freestanding"
"Ampelocissus",7293766,"Ampelocissus",""
"Ampelocissus javalensis-AMP2JA",4053766,"Ampelocissus javalensis","Climbing"
"Amphilophium",3172588,"Amphilophium",""
"Amphilophium crucigerum-AMP3CR-PITC",4931838,"Amphilophium crucigerum","Climbing"
"Amphilophium magnoliifolium-AMP3MA",7667493,"Amphilophium magnoliifolium","Climbing"
"Amphilophium paniculatum-AMP3PA-AMPP",3172589,"Amphilophium paniculatum","Climbing"
"Amphilophium pannosum-AMP3P1",4094288,"Amphilophium pannosum","Climbing"
"Amphirrhox",7296364,"Amphirrhox",""
"Amphirrhox longifolia-AMPHLO",4075006,"Amphirrhox longifolia","Freestanding"
"Amphitecna",3172582,"Amphitecna",""
"Amphitecna isthmica-AMP1IS",4094040,"Amphitecna isthmica","Freestanding"
"Amphitecna kennedyae-AMP1KE",7802515,"Amphitecna kennedyae","Freestanding"
"Amphitecna latifolia-AMP1LA",3172583,"Amphitecna latifolia","Freestanding"
"Amphitecna parviflora-AMP1PA",4093855,"Amphitecna parviflora","Freestanding"
"Amphitecna sessilifolia-AMP1SE",4093820,"Amphitecna sessilifolia","Freestanding"
"Amphitecna spathicalyx-AMP1SP",4093797,"Amphitecna spathicalyx","Freestanding"
"Amyris",3190177,"Amyris",""
"Amyris balsamifera-AMYRBA",5421190,"Amyris balsamifera","Freestanding"
"Amyris pinnata-AMYRPI",5594205,"Amyris pinnata","Freestanding"
"Anacardiaceae",2398,"Anacardiaceae",""
"Anacardium",5421367,"Anacardium",""
"Anacardium excelsum-ANACEX-ANAE",5544303,"Anacardium excelsum","Freestanding"
"Anacardium occidentale-ANACOC-ANAO",5421368,"Anacardium occidentale","Freestanding"
"Anaxagorea",8275519,"Anaxagorea",""
"Anaxagorea allenii-ANAXAL",3156867,"Anaxagorea allenii","Freestanding"
"Anaxagorea crassipetala-ANAXCR",3156858,"Anaxagorea crassipetala","Freestanding"
"Anaxagorea panamensis-ANAXPA-ANAP",3156864,"Anaxagorea panamensis","Freestanding"
"Anaxagorea phaeocarpa-ANAXPH",3156862,"Anaxagorea phaeocarpa","Freestanding"
"Ancistrotropis",8264243,"Ancistrotropis",""
"Ancistrotropis peduncularis-VIGNPE-PHA1",7484829,"Ancistrotropis peduncularis","Climbing"
"Andesanthus",10783250,"Andesanthus",""
"Andesanthus inopinatus-TIBOIN",10808847,"Andesanthus inopinatus","Freestanding"
"Andira",7858091,"Andira",""
"Andira inermis-ANDIIN-ANDI",2952214,"Andira inermis","Freestanding"
"Andira taurotesticulata-ANDITA",3965443,"Andira taurotesticulata","Freestanding"
"Anechites",3169616,"Anechites",""
"Anechites nerium-ANECNE",3169617,"Anechites nerium","Climbing"
"Anemopaegma",3172463,"Anemopaegma",""
"Anemopaegma chrysanthum-ANEMCH-ANEC",4093518,"Anemopaegma chrysanthum","Climbing"
"Anemopaegma chrysoleucum-ANEMC1",4093499,"Anemopaegma chrysoleucum","Climbing"
"Anemopaegma orbiculatum-ANEMOR-ANEO",4092615,"Anemopaegma orbiculatum","Climbing"
"Anemopaegma puberulum-ANEMPU",4092427,"Anemopaegma puberulum","Climbing"
"Anemopaegma santaritense-ANEMSA-ANES",7552332,"Anemopaegma santa-ritense","Climbing"
"Angostura",7911749,"Angostura",""
"Angostura trifoliata-GALITR",3836284,"Angostura trifoliata","Freestanding"
"Aniba",3034086,"Aniba",""
"Aniba bracteata-ANIBBR",3034087,"Aniba bracteata","Freestanding"
"Aniba cinnamomiflora-ANIBCI",4181610,"Aniba cinnamomiflora","Freestanding"
"Aniba hostmanniana-ANIBHO",4181158,"Aniba hostmanniana","Freestanding"
"Aniba hostmanniana-DUGUVA",4181158,"Aniba hostmanniana","Freestanding"
"Aniba puchury-minor-ANIBPU",7304533,"Aniba puchury-minor","Freestanding"
"Aniseia",2928409,"Aniseia",""
"Aniseia luxurians-ISEILU-ISEL",9730688,"Aniseia luxurians","Climbing"
