"sp6","sp6curr","sp6prior","sp4","Current_order","Current_family","Current_name","Current_name_author","synonyms","vouchers","habit","Accepted_name","Accepted_name_author","Accepted_name_rank","Accepted_family","currnamechanged","sp6changed","acceptednamedif","notes","gbif_accepted_scientific_name","gbif_accepted_taxon_id","taxon_code"
"abrupr","abrupr",NA,NA,"Fabales","Fabaceae","Abrus precatorius","L.",NA,NA,"Climbing","Abrus precatorius","L.","species","Fabaceae",FALSE,NA,FALSE,NA,"Abrus precatorius",5348711,"Abrus precatorius-ABRUPR"
"abutdw","abutdw",NA,"ABUD","Ranunculales","Menispermaceae","Abuta dwyeriana","Krukoff & Barneby",NA,"R. Pérez 2160 (PMA, SCZ)","Climbing","Abuta dwyeriana","Krukoff & Barneby","species","Menispermaceae",FALSE,NA,FALSE,NA,"Abuta dwyeriana",7420972,"Abuta dwyeriana-ABUTDW-ABUD"
"abutpa","abutpa",NA,"ABUP","Ranunculales","Menispermaceae","Abuta panamensis","(Standl.) Krukoff & Barneby",NA,NA,"Climbing","Abuta panamensis","(Standl.) Krukoff & Barneby","species","Menispermaceae",FALSE,NA,FALSE,NA,"Abuta panamensis",3830289,"Abuta panamensis-ABUTPA-ABUP"
"abutra","abutra",NA,"ABUR","Ranunculales","Menispermaceae","Abuta racemosa","(Thunb.) Triana & Planch.",NA,"R. Pérez 2012 (PMA, SCZ)","Climbing","Abuta racemosa","Triana & Planch.","species","Menispermaceae",FALSE,NA,FALSE,NA,"Abuta racemosa",7349979,"Abuta racemosa-ABUTRA-ABUR"
"acacau","acacau",NA,NA,"Fabales","Fabaceae","Acacia auriculiformis","A. Cunn. ex Benth.",NA,NA,"Freestanding","Acacia auriculiformis","A.Cunn. ex Benth.","species","Fabaceae",FALSE,NA,FALSE,NA,"Acacia auriculiformis",2981001,"Acacia auriculiformis-ACACAU"
"acacma","acacma",NA,NA,"Fabales","Fabaceae","Acacia mangium","Willd.",NA,NA,"Freestanding","Acacia mangium","Willd.","species","Fabaceae",FALSE,NA,FALSE,NA,"Acacia mangium",2979091,"Acacia mangium-ACACMA"
"acacan","acacan",NA,NA,"Fabales","Fabaceae","Acaciella angustissima","(Mill.) Britton & Rose",NA,NA,"Freestanding","Acaciella angustissima","(Mill.) Britton & Rose","species","Fabaceae",FALSE,NA,FALSE,NA,"Acaciella angustissima",2981071,"Acaciella angustissima-ACACAN"
"acacgl","acacgl",NA,"ACAG","Fabales","Fabaceae","Acaciella glauca","(L.) L. Rico","Acacia glauca",NA,"Freestanding","Acaciella glauca","(L.) L.Rico","species","Fabaceae",FALSE,NA,FALSE,NA,"Acaciella glauca",3794870,"Acaciella glauca-ACACGL-ACAG"
NA,NA,NA,NA,"Fabales","Fabaceae","Acaciella villosa","(Sw.) Britton & Rose",NA,NA,"Freestanding","Acaciella villosa","(Sw.) Britton & Rose","species","Fabaceae",FALSE,NA,FALSE,NA,"Acaciella villosa",2979199,"Acaciella villosa"
"acalco","acalco",NA,NA,"Malpighiales","Euphorbiaceae","Acalypha costaricensis","(Kuntze) Knobl. ex Pax & K. Hoffm.",NA,NA,"Freestanding","Acalypha costaricensis","(Kuntze) Knobl. ex Pax & K.Hoffm.","species","Euphorbiaceae",FALSE,NA,FALSE,NA,"Acalypha costaricensis",3057350,"Acalypha costaricensis-ACALCO"
