sp4,sp6,family,genus,species,deciduous,oldname,climber,free,liana,vine,shrub,understory,midstory,tree,herb,epiphyte,hemiepiphyte,parasite
NA,ANA1,Anacardiaceae,(anacardiaceae),sp.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,ANN1,Annonaceae,(annonaceae),sp.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,ANN2,Annonaceae,(annonaceae),sp.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,BIG2,Bignoniaceae,(bignoniaceae),clitoria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,BIG1,Bignoniaceae,(bignoniaceae),sp.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,CEL1,Celastraceae,(celastraceae),sp.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,CUC1,Cucurbitaceae,(cucurbitaceae),sp.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,EUP2,Euphorbiaceae,(euphorbiaceae),sp.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,LAU12,Lauraceae,(lauraceae),pubescente,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,LAU11,Lauraceae,(lauraceae),sp.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,LAU13,Lauraceae,(lauraceae),sp.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,LAU14,Lauraceae,(lauraceae),sp.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,LAU15,Lauraceae,(lauraceae),sp.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,LAU16,Lauraceae,(lauraceae),sp.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,LAU17,Lauraceae,(lauraceae),sp.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,LAU18,Lauraceae,(lauraceae),sp.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,LAU19,Lauraceae,(lauraceae),sp.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,LAU4,Lauraceae,(lauraceae),sp.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,LAU5,Lauraceae,(lauraceae),sp.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,LAU8,Lauraceae,(lauraceae),sp.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,MAL1,Malpighiaceae,(malpighiaceae),sp.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,MEL4,Melastomataceae,(melastomataceae),sp.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,MEL5,Melastomataceae,(melastomataceae),sp.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,MYT11,Myrtaceae,(myrtaceae),sp.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,MYT13,Myrtaceae,(myrtaceae),sp.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,MYT15,Myrtaceae,(myrtaceae),sp.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,MYT16,Myrtaceae,(myrtaceae),sp.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,MYT17,Myrtaceae,(myrtaceae),sp.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,MYT18,Myrtaceae,(myrtaceae),sp.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,MYT19,Myrtaceae,(myrtaceae),sp.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,MYT20,Myrtaceae,(myrtaceae),sp.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,MYT21,Myrtaceae,(myrtaceae),sp.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NYC2,Nyctaginaceae,(nyctaginaceae),sp.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PAS1,Passifloraceae,(passifloraceae),sp.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,RUB6,Rubiaceae,(rubiaceae),sp.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,RUB7,Rubiaceae,(rubiaceae),sp.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,RUB8,Rubiaceae,(rubiaceae),sp.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SAP1,Sapindaceae,(sapindaceae),sp.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SAP3,Sapindaceae,(sapindaceae),sp.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SAP2,Sapotaceae,(sapotaceae),sp.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SAP4,Sapotaceae,(sapotaceae),sp.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SAP5,Sapotaceae,(sapotaceae),sp.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SAP6,Sapotaceae,(sapotaceae),sp.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SAP7,Sapotaceae,(sapotaceae),sp.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SAP8,Sapotaceae,(sapotaceae),sp.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABAB,PIT1BA,Fabaceae-Mimosoideae,Abarema,barbouriana,E,Pithecellobium-barbouriana,0,1,0,0,0,0,0,1,0,0,0,0
PITM,PIT1MA,Fabaceae-Mimosoideae,Abarema,macradenia,E,Pithecellobium-macradenium,0,1,0,0,0,0,0,1,0,0,0,0
ABUD,ABUTDW,Menispermaceae,Abuta,dwyerana,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
ABUP,ABUTPA,Menispermaceae,Abuta,panamensis,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
ABUR,ABUTRA,Menispermaceae,Abuta,racemosa,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
ACAA,ACACAC,Fabaceae,Acacia,acanthophylla,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
NA,ACACCO,Fabaceae-Mimosoideae,Acacia,collinsii,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0
ACAG,NA,Fabaceae-Mimosoideae,Acacia,glauca,?,NA,0,1,0,0,1,0,0,0,0,0,0,0
ACAH,ACACHA,Fabaceae,Acacia,hayesii,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
NA,ACACMA,Fabaceae-Mimosoideae,Acacia,mangium,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA1,ACACME,Fabaceae-Mimosoideae,Vachellia,melanoceras,DF,Acacia-melanoceras,0,1,0,0,1,0,0,0,0,0,0,0
ACAR,ACACRI,Fabaceae,Acacia,riparia,DB,NA,1,0,0,1,0,0,0,0,0,0,0,0
NA,ACAC1,Fabaceae-Mimosoideae,Acacia,sp.1,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACAT,ACACTI,Fabaceae-Mimosoideae,Acacia,tenuifolia,?,NA,1,0,0,1,0,0,0,0,0,0,0,0
ACAD,ACALDI,Euphorbiaceae,Acalypha,diversifolia,E,NA,0,1,0,0,1,0,0,0,0,0,0,0
ACA2,ACALMA,Euphorbiaceae,Acalypha,macrostachya,E,NA,0,1,0,0,1,0,0,0,0,0,0,0
ACAW,NA,Euphorbiaceae,Acalypha,wilkesiana,?,NA,0,1,0,0,1,0,0,0,0,0,0,0
NA,ACANTE,Cactaceae,Acanthocereus,tetragonus,E,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,ACIDNI,Euphorbiaceae,Acidoton,nicaraguensis,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
ACIL,ACIOLE,Melastomataceae,Aciotis,rubricaulis,?,Aciotis-levyana,NA,NA,0,0,0,0,0,0,1,0,0,0
NA,ACOSPA,Fabaceae-Papilionoideae,Acosmium,panamense,DF,NA,0,1,0,0,0,0,0,0,0,0,0,0
ACRA,ACROPA,Arecaceae,Acrocomia,aculeata,E,NA,0,1,0,0,0,1,0,0,0,0,0,0
ADET,ADE1TR,Euphorbiaceae,Adelia,triloba,E,NA,0,1,0,0,1,0,0,0,0,0,0,0
ADE1,ADELAD,Melastomataceae,Adelobotrys,adscendens,?,NA,1,0,1,0,0,0,0,0,0,0,0,0
NA,ADELPA,Melastomataceae,Adelobotrys,panamensis,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,ADE2PA,Fabaceae-Mimosoideae,Adenanthera,pavonina,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,ADENFL,Lythraceae,Adenaria,floribunda,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,ADE3AR,Bignoniaceae,Adenocalymma,arthropetiolatum,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADE2,ADE3IN,Bignoniaceae,Adenocalymma,inundatum,E,Adenocalymma-apurense,1,0,1,0,0,0,0,0,0,0,0,0
AECD,NA,Bromeliaceae,Aechmea,dactylina,E,NA,NA,NA,0,0,0,0,0,0,0,1,0,0
AECP,NA,Bromeliaceae,Aechmea,pubescens,E,NA,NA,NA,0,0,0,0,0,0,0,1,0,0
AECS,NA,Bromeliaceae,Aechmea,setigera,E,NA,NA,NA,0,0,0,0,0,0,0,1,0,0
AECT,NA,Bromeliaceae,Aechmea,tillandsioides,E,NA,NA,NA,0,0,0,0,0,0,0,1,0,0
NA,AEGIAN,Verbenaceae,Aegiphila,anomala,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
AEGC,AEGICE,Verbenaceae,Aegiphila,cephalophora,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
AEGE,AEGIEL,Verbenaceae,Aegiphila,elata,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
NA,AEGIOD,Verbenaceae,Aegiphila,odontophylla,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEGP,AEGIPA,Verbenaceae,Aegiphila,panamensis,E,NA,0,1,0,0,1,0,0,0,0,0,0,0
AESE,NA,Fabaceae-Papilionoideae,Aeschynomene,sensitiva,DF,NA,NA,NA,0,0,0,0,0,0,1,0,0,0
NA,AGONBR,Opiliaceae,Agonandra,brasiliensis,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,GENICU,Rubiaceae,Agouticarpa,curviflora,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,GENIWI,Rubiaceae,Agouticarpa,williamsii,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,AIOUVE,Lauraceae,Aiouea,vexatrix,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,AIPHHI,Arecaceae,Aiphanes,hirsuta,E,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,ALBIAD,Fabaceae-Mimosoideae,Albizia,adinocephala,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,ALBINI,Fabaceae-Mimosoideae,Albizia,niopoides,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,ALBIPR,Fabaceae-Mimosoideae,Albizia,procera,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0
ALCC,ALCHCO,Euphorbiaceae,Alchornea,costaricensis,E,NA,0,1,0,0,0,1,0,0,0,0,0,0
NA,ALCHGR,Euphorbiaceae,Alchornea,grandis,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
ALCL,ALCHLA,Euphorbiaceae,Alchornea,latifolia,E,NA,0,1,0,0,0,0,1,0,0,0,0,0
NA,ALCH3,Euphorbiaceae,Alchornea,sp.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,ALCH4,Euphorbiaceae,Alchornea,sp.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,ALCH5,Euphorbiaceae,Alchornea,sp.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALIE,ALIBED,Rubiaceae,Alibertia,edulis,E,NA,0,1,0,0,1,0,0,0,0,0,0,0
NA,ALIBGA,Rubiaceae,Alibertia,garapatica,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALLC,ALLACA,Apocynaceae,Allamanda,cathartica,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
NA,ALLEER,Rubiaceae,Allenanthus,erythrocarpus,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
ALLG,ALLOGE,Sapindaceae,Allophylus,gentryi,?,NA,0,1,0,0,0,1,0,0,0,0,0,0
ALLP,ALLOPS,Sapindaceae,Allophylus,psilospermus,E,NA,0,1,0,0,0,1,0,0,0,0,0,0
NA,ALLOOC,Sapindaceae,Allophylus,racemosus,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,ALLO2,Sapindaceae,Allophylus,sp.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
