Family		Current	Croat	1982	1996	2004	Other
Acanthaceae		<i>Aphelandra&nbsp;sinclairiana</i>	<i>Aphelandra&nbsp;sinclairiana</i>	<i>Aphelandra&nbsp;sinclairiana</i>	<i>Aphelandra&nbsp;sinclairiana</i>	<i>Aphelandra&nbsp;sinclairiana</i>	
Acanthaceae		<i>Trichanthera&nbsp;gigantea</i>	<i>Trichanthera&nbsp;gigantea</i>	<i>Trichanthera&nbsp;gigantea</i>	<i>Trichanthera&nbsp;gigantea</i>	Does&nbsp;not&nbsp;appear	
Achariaceae		<i>Lindackeria&nbsp;laurina</i>	<i>Lindackeria&nbsp;laurina</i>	<i>Lindackeria&nbsp;laurina</i>	<i>Lindackeria&nbsp;laurina</i>	<i>Lindackeria&nbsp;laurina</i>	
Anacardiaceae		<i>Anacardium&nbsp;excelsum</i>	<i>Anacardium&nbsp;excelsum</i>	<i>Anacardium&nbsp;excelsum</i>	<i>Anacardium&nbsp;excelsum</i>	<i>Anacardium&nbsp;excelsum</i>	
Anacardiaceae		<i>Astronium&nbsp;graveolens</i>	<i>Astronium&nbsp;graveolens</i>	<i>Astronium&nbsp;graveolens</i>	<i>Astronium&nbsp;graveolens</i>	<i>Astronium&nbsp;graveolens</i>	
Anacardiaceae		<i>Spondias&nbsp;mombin</i>	<i>Spondias&nbsp;mombin</i>	<i>Spondias&nbsp;mombin</i>	<i>Spondias&nbsp;mombin</i>	<i>Spondias&nbsp;mombin</i>	
Anacardiaceae		<i>Spondias&nbsp;radlkoferi</i>	<i>Spondias&nbsp;radlkoferi</i>	<i>Spondias&nbsp;radlkoferi</i>	<i>Spondias&nbsp;radlkoferi</i>	<i>Spondias&nbsp;radlkoferi</i>	
Annonaceae		<i>Anaxagorea&nbsp;panamensis</i>	<i>Anaxagorea&nbsp;panamensis</i>	<i>Anaxagorea&nbsp;panamensis</i>	<i>Anaxagorea&nbsp;panamensis</i>	<i>Anaxagorea&nbsp;panamensis</i>	
Annonaceae		<i>Annona&nbsp;acuminata</i>	<i>Annona&nbsp;acuminata</i>	<i>Annona&nbsp;acuminata</i>	<i>Annona&nbsp;acuminata</i>	Does&nbsp;not&nbsp;appear	
Annonaceae		<i>Annona&nbsp;hayesii</i>	<i>Annona&nbsp;hayesii</i>	<i>Annona&nbsp;hayesii</i>	<i>Annona&nbsp;hayesii</i>	<i>Annona&nbsp;hayesii</i>	
Annonaceae		<i>Annona&nbsp;spraguei</i>	<i>Annona&nbsp;spraguei</i>	<i>Annona&nbsp;spraguei</i>	<i>Annona&nbsp;spraguei</i>	<i>Annona&nbsp;spraguei</i>	
Annonaceae		<i>Desmopsis&nbsp;panamensis</i>	<i>Desmopsis&nbsp;panamensis</i>	<i>Desmopsis&nbsp;panamensis</i>	<i>Desmopsis&nbsp;panamensis</i>	<i>Desmopsis&nbsp;panamensis</i>	
Annonaceae	*	<i>Guatteria&nbsp;lucens</i>	<i>Guatteria&nbsp;dumetorum</i>	<i>Guatteria&nbsp;dumetorum</i>	<i>Guatteria&nbsp;dumetorum</i>	<i>Guatteria&nbsp;dumetorum</i>	
Annonaceae	*	<i>Mosannona&nbsp;garwoodii</i>	<i>Crematosperma&nbsp;sp.</i>	<i>Crematosperma&nbsp;garwoods</i>	<i>Malmea&nbsp;sp.&nbsp;nov.</i>	<i>Mosannona&nbsp;garwoodii</i>	<i>Malmea&nbsp;garwood's,&nbsp;Malmea&nbsp;Nancy??</i>
Annonaceae		<i>Unonopsis&nbsp;pittieri</i>	<i>Unonopsis&nbsp;pittieri</i>	<i>Unonopsis&nbsp;pittieri</i>	<i>Unonopsis&nbsp;pittieri</i>	Does&nbsp;not&nbsp;appear	
Annonaceae		<i>Xylopia&nbsp;macrantha</i>	<i>Xylopia&nbsp;macrantha</i>	<i>Xylopia&nbsp;macrantha</i>	<i>Xylopia&nbsp;macrantha</i>	<i>Xylopia&nbsp;macrantha</i>	
Apocynaceae	*	<i>Aspidosperma&nbsp;desmanthum</i>	<i>Aspidosperma&nbsp;cruenta</i>	<i>Aspidosperma&nbsp;cruenta</i>	<i>Aspidosperma&nbsp;cruenta</i>	<i>Aspidosperma&nbsp;cruentum</i>	<i>Aspidosperma&nbsp;spruceanum</i>
Apocynaceae		<i>Lacmellea&nbsp;panamensis</i>	<i>Lacmellea&nbsp;panamensis</i>	<i>Lacmellea&nbsp;panamensis</i>	<i>Lacmellea&nbsp;panamensis</i>	<i>Lacmellea&nbsp;panamensis</i>	
Apocynaceae	*	<i>Rauvolfia&nbsp;littoralis</i>	Does&nbsp;not&nbsp;appear	Does&nbsp;not&nbsp;appear	Does&nbsp;not&nbsp;appear	<i>Rauvolfia&nbsp;littoralis</i>	
Apocynaceae		<i>Tabernaemontana&nbsp;arborea</i>	<i>Tabernaemontana&nbsp;arborea</i>	<i>Tabernaemontana&nbsp;arborea</i>	<i>Tabernaemontana&nbsp;arborea</i>	<i>Tabernaemontana&nbsp;arborea</i>	
Apocynaceae	*	<i>Tabernaemontana&nbsp;grandiflora</i>	<i>Stemmadenia&nbsp;grandiflora</i>	<i>Stemmadenia&nbsp;grandiflora</i>	<i>Stemmadenia&nbsp;grandiflora</i>	<i>Stemmadenia&nbsp;grandiflora</i>	
Apocynaceae		<i>Thevetia&nbsp;ahouai</i>	<i>Thevetia&nbsp;ahouai</i>	<i>Thevetia&nbsp;ahouai</i>	<i>Thevetia&nbsp;ahouai</i>	<i>Thevetia&nbsp;ahouai</i>	
Araliaceae		<i>Dendropanax&nbsp;arboreus</i>	<i>Dendropanax&nbsp;arboreus</i>	<i>Dendropanax&nbsp;arboreus</i>	<i>Dendropanax&nbsp;arboreus</i>	<i>Dendropanax&nbsp;arboreus</i>	<i>Dendropanax&nbsp;stenodontus</i>
Araliaceae	*	<i>Dendropanax&nbsp;arboreus</i>	<i>Dendropanax&nbsp;stenodontus</i>	<i>Dendropanax&nbsp;stenodontus</i>	<i>Dendropanax&nbsp;stenodontus</i>	<i>Dendropanax&nbsp;arboreus</i>	
Araliaceae		<i>Oreopanax&nbsp;capitatus</i>	<i>Oreopanax&nbsp;capitatus</i>	Does&nbsp;not&nbsp;appear	Does&nbsp;not&nbsp;appear	Does&nbsp;not&nbsp;appear	
Araliaceae	*	<i>Schefflera&nbsp;morototoni</i>	<i>Didymopanax&nbsp;morototoni</i>	<i>Didymopanax&nbsp;morototoni</i>	<i>Schefflera&nbsp;morototoni</i>	<i>Schefflera&nbsp;morototoni</i>	
Arecaceae		<i>Astrocaryum&nbsp;standleyanum</i>	<i>Astrocaryum&nbsp;standleyanum</i>	<i>Astrocaryum&nbsp;standleyanum</i>	<i>Astrocaryum&nbsp;standleyanum</i>	<i>Astrocaryum&nbsp;standleyanum</i>	
Arecaceae	*	<i>Attalea&nbsp;rostrata</i>	<i>Scheelea&nbsp;zonensis</i>	<i>Scheelea&nbsp;zonensis</i>	<i>Scheelea&nbsp;zonensis</i>	<i>Attalea&nbsp;butyracea</i>	
Arecaceae		<i>Bactris&nbsp;barronis</i>	<i>Bactris&nbsp;barronis</i>	<i>Bactris&nbsp;barronis</i>	<i>Bactris&nbsp;barronis</i>	<i>Bactris&nbsp;barronis</i>	
Arecaceae		<i>Bactris&nbsp;coloniata</i>	<i>Bactris&nbsp;coloniata</i>	<i>Bactris&nbsp;coloniata</i>	<i>Bactris&nbsp;coloniata</i>	<i>Bactris&nbsp;coloniata</i>	
Arecaceae		<i>Bactris&nbsp;coloradonis</i>	<i>Bactris&nbsp;coloradonis</i>	<i>Bactris&nbsp;coloradonis</i>	<i>Bactris&nbsp;coloradonis</i>	<i>Bactris&nbsp;coloradonis</i>	
Arecaceae		<i>Bactris&nbsp;major</i>	<i>Bactris&nbsp;major</i>	<i>Bactris&nbsp;major</i>	<i>Bactris&nbsp;major</i>	<i>Bactris&nbsp;major</i>	
Arecaceae	*	<i>Chamaedorea&nbsp;tepejilote</i>	<i>Chamaedorea&nbsp;wendlandiana</i>	<i>Chamaedorea&nbsp;wendlandiana</i>	<i>Chamaedorea&nbsp;tepejilote</i>	Does&nbsp;not&nbsp;appear	
Arecaceae		<i>Elaeis&nbsp;oleifera</i>	<i>Elaeis&nbsp;oleifera</i>	<i>Elaeis&nbsp;oleifera</i>	<i>Elaeis&nbsp;oleifera</i>	<i>Elaeis&nbsp;oleifera</i>	
Arecaceae		<i>Geonoma&nbsp;interrupta</i>	<i>Geonoma&nbsp;interrupta</i>	<i>Geonoma&nbsp;interrupta</i>	<i>Geonoma&nbsp;interrupta</i>	<i>Geonoma&nbsp;interrupta</i>	
Arecaceae	*	<i>Oenocarpus&nbsp;mapora</i>	<i>Oenocarpus&nbsp;panamanus</i>	<i>Oenocarpus&nbsp;panamanus</i>	<i>Oenocarpus&nbsp;mapoura</i>	<i>Oenocarpus&nbsp;mapora</i>	
Arecaceae	*	<i>Socratea&nbsp;exorrhiza</i>	<i>Socratea&nbsp;durissima</i>	<i>Socratea&nbsp;durissima</i>	<i>Socratea&nbsp;exorrhiza</i>	<i>Socratea&nbsp;exorrhiza</i>	
