Latin	Mnemonic	Family	Authority	Notes	aka	past_code
Abarema macradenia	pit1ma	Fabaceae-mimosoideae	(Pittier) Barneby & J.W. Grimes	Formerly Pithecellobium macradenium and appeared in 1996 paper under that old name. Pithecellobium was an enormously broad mix of of many taxa. Barnebey and Grimes (1996) did a detailed phylogeny of Ingeae, many of which (except Inga and Calliandra) were once Pithecellobium. The genus revisions do not alter species boundaries here. 	Pithecellobium macradenium	pitm
Acalypha diversifolia	acaldi	Euphorbiaceae	Jacq.			acad
Acalypha macrostachya	acalma	Euphorbiaceae	Jacq.			aca2
Adelia triloba	ade1tr	Euphorbiaceae	(Müll.Arg.) Hemsl.			adet
Aegiphila panamensis	aegipa	Lamiaceae	Moldenke			aegp
Alchornea costaricensis	alchco	Euphorbiaceae	Pax & K.Hoffm.			alcc
Alchornea latifolia	alchla	Euphorbiaceae	Sw.			alcl
Alibertia dwyeri	boropa	Rubiaceae	Delprete & C.H.Perss.	Formerly B. panamensis. Entire genus of Borojoa, with 3 species, collapsed into Alibertia, without any changes in species boundaries. The name dwyeri was necessary because there is another A. panamensis. There was a single sapling in this taxon since 1982 (died in 2015), but the name is not in Croat nor the 1996 paper. It must have been identified later?	Borojoa panamensis	
Alibertia edulis	alibed	Rubiaceae	(Rich.) A.Rich. ex DC.			alie
Allophylus psilospermus	allops	Sapindaceae	Radlk.			allp
Alseis blackiana	alsebl	Rubiaceae	Hemsl.			alsb
Amaioua corymbosa	amaico	Rubiaceae	Kunth			amac
Anacardium excelsum	anacex	Anacardiaceae	(Bertero & Balb. ex Kunth) Skeels			anae
Anaxagorea panamensis	anaxpa	Annonaceae	Standl.			anap
Andira inermis	andiin	Fabaceae-papilionoideae	(W. Wright) Kunth ex DC.			andi
Annona acuminata	annoac	Annonaceae	Saff.			anna
Annona hayesii	annoha	Annonaceae	Saff.			annh
Annona spraguei	annosp	Annonaceae	Saff.			anns
Apeiba hybrid	apeihy	Malvaceae				apeh
Apeiba membranacea	apeime	Malvaceae	Spruce ex Benth.	This is Croat's name and is the accepted name for a widespread Central and South American species. But A. membranacea has regularly been misidentified as A. aspera, leading us to use that incorrect name for a period. We used A. membranaceae correctly through the 1996 paper, but then the incorrect A. aspera in the 2004 paper. We have now restored the correct A. membranacea. 	Apeiba aspera	apem
Apeiba tibourbou	apeiti	Malvaceae	Aubl.			apet
Aphelandra sinclairiana	aphesi	Acanthaceae	Nees			aphs
Appunia seibertii	appuse	Rubiaceae	Standl.	Not in Croat but identified in 1982 census, and we used in the 1996 paper; now we have reverted to it as of 2017. Steyermark (1972) and Taylor and Steyermark (Flora of NG Shield) moved Appunia within a broad Morinda, but others, however, maintained Appunia separate. Later DNA phylogeny (Razafimandimbison 2009, 2011) shows Morinda to be polyphyletic. They decided to restore Appunia, and Tropicos follows this latest. 	Morinda seibertii	
Ardisia bartlettii	ardiba	Myrsinaceae	Lundell			ardb
Ardisia guianensis	ardigu	Myrsinaceae	(Aubl.) Mez			ardg
Ardisia standleyana	ardife	Myrsinaceae	P.H.Allen	This was formely A. fendleri, and appeared as that old name in 1996 and 2004 papers. We switched to A. standleyana subsequently. There is confusion, though, as Ricketson and Pipoly reverted most BCI specimens to A. fendleri after 2006. Moreover, A. copeyana appears on one BCI specimen, though it is otherwise only at high elevation. Must check Man. CR and Fl. Nic.	Ardisia fendleri	ardf
Aspidosperma desmanthum	aspicr	Apocynaceae		This genus is now in a state of confusion, largely because a PhD dissertation finished in 1999 (K. Potgieter), which makes many revisions, has not been published, so multiple names are still around. Potgieter advises that A. desmanthum should be used for the common BCI species. In the past, we used three other names: A. cruenta, A. cruentum, and A. spruceanum. The first is a misspelling, following Croat, and we published it in both the 1996 and 2004 papers. To put a cap on this, confusion goes full circle in 2018, with Morales restoring A. cruentum to Panama records, including BCI, contra Potgieter.	Aspidosperma cruenta;Aspidosperma cruentum;Aspidosperma spruceanum	
Astrocaryum standleyanum	ast1st	Arecaceae	L.H.Bailey			asts
Astronium graveolens	ast2gr	Anacardiaceae	Jacq.			astg
Attalea rostrata	sch1zo	Arecaceae	Oerst.	Formerly Scheelea zonensis, and we published under that name in 1996 paper, then A. butyracea, which we used in 2004 paper. We are following Garwood, who used A. rostrata, the Central American form, distinct from S. American A. butyracea. Note that Tropicos still uses A. butyracea.	Attalea butyracea;Scheelea zonensis	schz
Bactris barronis	bactba	Arecaceae	L.H.Bailey			bacb
Bactris coloniata	bactc1	Arecaceae	L.H.Bailey			bac1
Bactris coloradonis	bactc2	Arecaceae	L.H.Bailey			bac2
Bactris major	bactma	Arecaceae	Jacq.			bacm
Banara guianensis	banagu	Salicaceae	Aubl.	Croat includes this taxon, but it did not appear in the 50-ha plot until the 1990 census, and it subsequently died out.		bang
Beilschmiedia tovarensis	beilpe	Lauraceae	(Klotzsch & H.Karst. ex Meisn.) Sachiko Nishida	We called this B. pendula for 30 years, and it appears under that name in 1996 and 2004 papers. But Nishida (1999) lists BCI specimens under B. tovarensis. He explains details of the differences at length, and they are subtle.	Beilschmiedia pendula	beip
Bertiera guianensis	bertgu	Rubiaceae	Aubl.			berg
Brosimum alicastrum	brosal	Moraceae	Sw.			broa
Brosimum guianense	brosgu	Moraceae	(Aubl.) Huber	Note misspelling in Appendix, but not main table, of 1996 paper.		brog
Calophyllum longifolium	calolo	Clusiaceae	Willd.			cal2
Capparidastrum frondosum	cappfr	Capparaceae	(Jacq.) Cornejo & Iltis	Formerly Capparis frondosa. See notes under that name.	Capparis frondosa	capf
Casearia aculeata	caseac	Salicaceae	Jacq.			cas1
Casearia arborea	casear	Salicaceae	(Rich.) Urb.			case1;cas2
Casearia commersoniana	caseco	Salicaceae	Cambess.			casc
Casearia guianensis	casegu	Salicaceae	(Aubl.) Urb.			casg
Casearia sylvestris	casesy	Salicaceae	Sw.			cass
Cassipourea elliptica	cassel	Rhizophoraceae	(Sw.) Poir.			cas3
Cavanillesia platanifolia	cavapl	Malvaceae	(Bonpl.) Kunth			cavp
Cecropia insignis	cecrin	Urticaceae	Liebm.			ceci
Cecropia longipes	cecrlo	Urticaceae	Pittier	Included in Croat but did not appear in the 50-ha plot until 1995 census, so does not appear in 1996 paper.		cecl
Cecropia obtusifolia	cecrob	Urticaceae	Bertol.			ceco
Cedrela odorata	cedrod	Meliaceae	L.			cedo
Ceiba pentandra	ceibpe	Malvaceae	(L.) Gaertn.			ceip
Celtis schippii	celtsc	Cannabaceae	Standl.			cels
Cespedesia spathulata	cespma	Ochnaceae	(Ruiz & Pav.) Planch.	Formerly C. macrophylla. Cespedesia now considered monotypic, with nine names united under one widespread species. See Fl. Nic. We used the old species name, macrophylla, and Croat’s misspelling of the genus, so published this under Cespedezia macrophylla in both 1996 and 2004 papers.	Cespedesia macrophylla;Cespedezia macrophylla	ces1
Cestrum racemosum	cestra	Solanaceae	Ruiz & Pav.	Croat included this taxon, but it did not appear in the 50-ha plot until the 2015 census.		cesr
Cestrum schlechtendahlii	cestme	Solanaceae	G.Don	We originally followed Croat and used C. megalophyllum in 1996 and 2004 papers. Nee reidentified all Croat's BCI specimens as C. schlechtendahlii in 2013. This is a question of name priority for same species circumpscription?? See Manual CR. 	Cestrum megalophyllum	ces2
Chamaedorea tepejilote	cha1te	Arecaceae	Liebm.	Formerly C. wendlandiana, but we switched by the 1996 paper. Lumped by Henderson (1997).	Chamaedorea wendlandiana	chaw
Chamguava schippii	cha2sc	Myrtaceae	(Standl.) Landrum	A small group of 3 rare C. American species, formerly Eugenia, moved to Psidium in 1963, and we initially used Croat’s name, Psidium anglohondurense. The new genus Chamguava was erected in 1991 by Landrum based on embryological details that separate it from Psidium; Chamguava is in a small group with Pimenta. The BCI population is the only one known s. of Guatemala, and one of 3 species only seen 3 times in the 1940s. No change in species boundaries. Huge DNA phylogeny (2015) does not include Chamguava, presumably due to rarity.	Psidium anglohondurense	psia
Chimarrhis parviflora	chimpa	Rubiaceae	Standl.			chip
Chrysochlamys eclipes	chr1ec	Clusiaceae	L.O.Williams	We originally followed Croat and used T. nicaraguensis, but now corrected to Chrysochlamys eclipses. We had switched to C. eclipes by 1996 paper, so no publication uses old name. See notes for T. nicaraguensis and Hammel (1999).	Tovomitopsis nicaraguensis	tovn
Chrysophyllum argenteum	chr2ar	Sapotaceae	Jacq.	We used this name by 1996 and 2004 papers. In Croat, this was Cynodendron panamense, but Pennington (1990) lumped several species under C. argenteum as a subspecies. The name Chrysophyllum panamense has also been used, but never in our data.	Chrysophyllum panamense;Cynodendron panamense	chrp
Chrysophyllum cainito	chr2ca	Sapotaceae	L.	Pennington (1990) is certain this is not native to Panama.		chrc
Cinnamomum triplinerve	phoeci	Lauraceae	(Ruiz & Pav.) Kosterm.	This was formerly Phoebe cinnamomifolia, and appeared as such in 1996 and 2004 papers. Croat called in P. mexicanum. See Fl. Nic.	Phoebe cinnamomifolia;Phoebe cinnamomifolium;Phoebe mexicana	phom
Clidemia dentata	clidde	Melastomataceae	Pav. ex D. Don	Clidemia is now moved within Miconia, but names are not yet transferred as of 2017.		clid
Clidemia octona	clidoc	Melastomataceae	(Bonpl.) L.O. Williams	Clidemia is now moved within Miconia, but names are not yet transferred as of 2017.		clio
Clidemia septuplinervia	clidse	Melastomataceae	Cogn.	Clidemia is now moved within Miconia, but names are not yet transferred as of 2017.		clis
Coccoloba coronata	coccco	Polygonaceae	Jacq.			cocc
Coccoloba manzinellensis	coccma	Polygonaceae	Beurl.	We spelled this incorrectly in 1996, copying Croat's error C. manzanellensis. We propagated the misspelling in the 1996 paper, but corrected it by the 2004 paper.	Coccoloba manzanillensis	cocm
Cojoba rufescens	pit1ru	Fabaceae-mimosoideae	(Benth.) Britton & Rose	Formerly Pithecellobium rufescens, and appears as such in 1996 paper. But Pithecellobium was an enormously broad mix of of many taxa. Barnebey and Grimes (1996) did a detailed phylogeny of Ingeae, many of which (except Inga and Calliandra) were once Pithecellobium. Cojoba is related to Inga and Calliandra according to Barneby and Grimes. The genus revisions do not alter species boundaries here. 	Pithecellobium rufescens	pitr
Colubrina glandulosa	colugl	Rhamnaceae	Perkins			colg
Conostegia bracteata	conobr	Melastomataceae	Triana			conb
Conostegia cinnamomea	conoci	Melastomataceae	(Beurl.) Wurdack			conc
Cordia alliodora	cordal	Cordiaceae	(Ruiz & Pav.) Oken			cora
Cordia bicolor	cordbi	Cordiaceae	A.DC.			corb
Cordia lasiocalyx	cordla	Cordiaceae	Pittier			corl
Coussarea curvigemmia	cou2cu	Rubiaceae	Dwyer			couc
Coutarea hexandra	couthe	Rubiaceae	(Jacq.) K.Schum.			couh
Croton billbergianus	crotbi	Euphorbiaceae	Müll.Arg.			crob
Cupania cinerea	cupaci	Sapindaceae	Poepp.			cupc
Cupania latifolia	cupala	Sapindaceae	Kunth			cupl
Cupania rufescens	cuparu	Sapindaceae	Triana & Planch.			cupr
