SPCODE	GENUS	SPECIES	FAMILY	LIANA
ANA1	(anacardiaceae)	sp.1	Anacardiaceae	
ANN1	(annonaceae)	sp.1	Annonaceae	
ANN2	(annonaceae)	sp.2	Annonaceae	
BIG2	(bignoniaceae)	'clitoria'	Bignoniaceae	l
BIG1	(bignoniaceae)	sp.1	Bignoniaceae	l
CEL1	(celastraceae)	sp.1	Celastraceae	
CUC1	(cucurbitaceae)	sp.1	Cucurbitaceae	l
EUP2	(euphorbiaceae)	sp.2	Euphorbiaceae	
LAU12	(lauraceae)	'pubescente'	Lauraceae	
LAU11	(lauraceae)	sp.11	Lauraceae	
LAU13	(lauraceae)	sp.13	Lauraceae	
LAU14	(lauraceae)	sp.14	Lauraceae	
LAU15	(lauraceae)	sp.15	Lauraceae	
LAU16	(lauraceae)	sp.16	Lauraceae	
LAU17	(lauraceae)	sp.17	Lauraceae	
LAU18	(lauraceae)	sp.18	Lauraceae	
LAU19	(lauraceae)	sp.19	Lauraceae	
LAU4	(lauraceae)	sp.4	Lauraceae	
LAU5	(lauraceae)	sp.5	Lauraceae	
LAU8	(lauraceae)	sp.8	Lauraceae	
MAL1	(malpighiaceae)	sp. 1	Malpighiaceae	l
MAL1	(malvaceae)	sp.1	Malvaceae	
MEL4	(melastomataceae)	sp.4	Melastomataceae	
MEL5	(melastomataceae)	sp.5	Melastomataceae	
MYT11	(myrtaceae)	sp.11	Myrtaceae	
MYT13	(myrtaceae)	sp.13	Myrtaceae	
MYT15	(myrtaceae)	sp.15	Myrtaceae	
MYT16	(myrtaceae)	sp.16	Myrtaceae	
MYT17	(myrtaceae)	sp.17	Myrtaceae	
MYT18	(myrtaceae)	sp.18	Myrtaceae	
MYT19	(myrtaceae)	sp.19	Myrtaceae	
MYT20	(myrtaceae)	sp.20	Myrtaceae	
MYT21	(myrtaceae)	sp.21	Myrtaceae	
NYC2	(nyctaginaceae)	sp.2	Nyctaginaceae	
PAS1	(passifloraceae)	sp.1	Passifloraceae	l
RUB6	(rubiaceae)	sp.6	Rubiaceae	
RUB7	(rubiaceae)	sp.7	Rubiaceae	
RUB8	(rubiaceae)	sp.8	Rubiaceae	
SAP1	(sapindaceae)	sp. 1	Sapindaceae	l
SAP3	(sapindaceae)	sp. 3	Sapindaceae	l
SAP2	(sapotaceae)	sp.2	Sapotaceae	
SAP3	(sapotaceae)	sp.3	Sapotaceae	
SAP4	(sapotaceae)	sp.4	Sapotaceae	
SAP5	(sapotaceae)	sp.5	Sapotaceae	
SAP6	(sapotaceae)	sp.6	Sapotaceae	
