Family APG2,FAMFOSTER,FamCroat,Genus,Prefix,Species,Author,v/s,Varsub,Varsubauth,chg,catpan,chg2,SYNONYMS,Voucher spec,Syn ref,Syn_notes,For/Mar_RF,LF_RF,BCI_STAT,BCI cult,,
Pteridaceae,~Pteridophyta,Polypodiaceae,Acrostichum,,aureum,L.,,,,,,,,,,,F,Ha,,,,
Pteridaceae,~Pteridophyta,Polypodiaceae,Acrostichum,,danaeifolium,Langsd. & Fisch.,,,,,,,,,,,F,Ha,,,,
Pteridaceae,~Pteridophyta,Polypodiaceae,Adiantum,,decoratum,Maxon & Weath.,,,,,,,,,,,F,H,,,,
Pteridaceae,~Pteridophyta,Polypodiaceae,Adiantum,,fructuosum,Spreng.,,,,,,,,,,,F,H,,,,
Pteridaceae,~Pteridophyta,Polypodiaceae,Adiantum,,humile,Kunze,,,,,,,,,,,F,H,,,,
Pteridaceae,~Pteridophyta,Polypodiaceae,Adiantum,,latifolium,Lam.,,,,new,,,"Adiantum petiolatum Desv. sensu Croat (1978), in part","Croat 11605 (F), det. A.Rojas 2000; dup at MO det. A. X variopinnatum by R. Moran",R.Moran et al. 1995 (Fl Meso 1),"In Fl Meso, A. petiolatum is described as once-pinnate, A. latifolium is twice pinnate.",F,H,,,,
Pteridaceae,~Pteridophyta,Polypodiaceae,Adiantum,,lucidum,(Cav.) Sw.,,,,,,,,,,,F,H,,,,
Pteridaceae,~Pteridophyta,Polypodiaceae,Adiantum,,lunulatum,Burm.f.,,,,,,,,,,,F,H,,,,
Pteridaceae,~Pteridophyta,Polypodiaceae,Adiantum,,obliquum,Willd.,,,,,,,,,,,F,H,,,,
Pteridaceae,~Pteridophyta,Polypodiaceae,Adiantum,,petiolatum,Desv.,,,,(-),,,"Adiantum petiolatum Desv. sensu Croat (1978), in part","Croat 8595, 12423, det. Jermy 1990; Schmalzel 1275 (MO)",,Croat includes 2X pinnate forms in his concept -- these are now recognized as A. latifolium or A. X variopinnatum.,F,H,,,,
