Family,ScientificName,ScientificNameAuthorship,Notes,TaxonId
ACANTHACEAE,"Aphelandra arnoldii",Mildbr.,,61885
ACANTHACEAE,"Aphelandra sinclairiana",Nees,,61905
ACANTHACEAE,"Blechum pyramidatum",Urb.,,80106
ACANTHACEAE,"Elytraria imbricata","(Vahl) Pers.",,64493
ACANTHACEAE,"Herpetacanthus panamensis",Leonard,,65423
ACANTHACEAE,"Hygrophila costata","Nees & T. Nees",,65566
ACANTHACEAE,"Justicia graciliflora","(Standl.) D.N. Gibson",,65871
ACANTHACEAE,"Justicia pectoralis",Jacq.,,65877
ACANTHACEAE,"Justicia secunda",Vahl,,65883
ACANTHACEAE,"Lepidagathis alopecuroidea","(Vahl) R. Br. ex Griseb.",,66071
ACANTHACEAE,"Mendoncia costaricana",Oerst.,,66641
ACANTHACEAE,"Mendoncia gracilis",Turrill,,66642
ACANTHACEAE,"Mendoncia litoralis",Leonard,,66644
ACANTHACEAE,"Mendoncia retusa",Turrill,,66645
ACANTHACEAE,"Nelsonia canescens","(Lam.) Spreng.",,67062
ACANTHACEAE,"Ruellia blechum",L.,,69234
ACANTHACEAE,"Ruellia costaricensis","(Oerst.) E.A. Tripp & McDade",,69237
ACANTHACEAE,"Ruellia panamensis","(Lindau) E.A. Tripp",,69246
ACANTHACEAE,"Ruellia terminalis","(Nees) Wassh.",,69250
ACANTHACEAE,"Thunbergia erecta","(Benth.) T. Anderson",,70414
ACANTHACEAE,"Trichanthera gigantea","(Bonpl.) Nees",,70523
ACTINIDIACEAE,"Saurauia yasicae",Loes.,,69356
AMARANTHACEAE,"Cyathula achyranthoides","(Kunth) Moq.",,63793
AMARANTHACEAE,"Cyathula prostrata","(L.) Blume",,63794
AMARANTHACEAE,"Iresine angustifolia",Euphrasén,,65782
ANACARDIACEAE,"Anacardium excelsum","(Bertero & Balb. ex Kunth) Skeels",,61651
ANACARDIACEAE,"Anacardium occidentale",L.,,61652
ANACARDIACEAE,"Astronium graveolens",Jacq.,,62139
ANACARDIACEAE,"Mangifera indica",L.,,66386
ANACARDIACEAE,"Mosquitoxylum jamaicense","Krug & Urb.",,66941
ANACARDIACEAE,"Spondias dulcis",Parkinson,,69945
ANACARDIACEAE,"Spondias mombin",L.,,69946
ANACARDIACEAE,"Spondias purpurea",L.,,69947
ANACARDIACEAE,"Spondias radlkoferi","Donn. Sm.",,69948
ANNONACEAE,"Anaxagorea panamensis",Standl.,,61658
ANNONACEAE,"Annona acuminata",Saff.,,61690
ANNONACEAE,"Annona glabra",L.,,61692
ANNONACEAE,"Annona hayesii",Saff.,,61693
ANNONACEAE,"Annona muricata",L.,,61696
ANNONACEAE,"Annona purpurea","Moc. & Sessé ex Dunal",,61699
ANNONACEAE,"Annona spraguei",Saff.,,61701
ANNONACEAE,"Desmopsis panamensis","(B.L. Rob.) Saff.",,64000
ANNONACEAE,"Guatteria amplifolia","Triana & Planch.",,65171
ANNONACEAE,"Guatteria lucens",Standl.,,65178
ANNONACEAE,"Klarobelia anomala","(R.E. Fr.) Chatrou",,65906
ANNONACEAE,"Mosannona garwoodii","Chatrou & Welzenis",,66938
ANNONACEAE,"Oxandra panamensis","R.E. Fr.",,67400
ANNONACEAE,"Unonopsis pittieri",Saff.,,70696
ANNONACEAE,"Xylopia frutescens",Aubl.,,70966
ANNONACEAE,"Xylopia macrantha","Triana & Planch.",,70967
APIACEAE,"Eryngium foetidum",L.,,64705
APIACEAE,"Hydrocotyle umbellata",L.,,65564
APIACEAE,"Spananthe paniculata",Jacq.,,69876
APOCYNACEAE,"Allamanda cathartica",L.,,61578
APOCYNACEAE,"Allamanda schottii",Pohl,,61579
APOCYNACEAE,"Asclepias curassavica",L.,,62042
APOCYNACEAE,"Aspidosperma desmanthum","Benth. ex Müll. Arg.",,62052
APOCYNACEAE,"Aspidosperma excelsum",Benth.,,62053
APOCYNACEAE,"Aspidosperma spruceanum","Benth. ex Müll. Arg.",,62056
APOCYNACEAE,"Blepharodon mucronatum","(Schltdl.) Decne.",,62413
APOCYNACEAE,"Catharanthus roseus","(L.) G. Don",,62803
APOCYNACEAE,"Fischeria billbergiana","(Beurl.) Morillo",,64920
APOCYNACEAE,"Forsteronia acouci","(Aubl.) A. DC.",,64945
APOCYNACEAE,"Forsteronia myriantha","Donn. Sm.",,64947
APOCYNACEAE,"Funastrum clausum","(Jacq.) Schltr.",,64962
APOCYNACEAE,"Gonolobus albomarginatus","(Pittier) Woodson",,65095
APOCYNACEAE,"Gonolobus fimbriatiflorus","(Morillo) W.D. Stevens",,65098
APOCYNACEAE,"Gonolobus inaequalis","L.O. Williams",,65102
APOCYNACEAE,"Lacmellea panamensis","(Woodson) Markgr.",,65932
APOCYNACEAE,"Macroscepis hirsuta","(Vahl) Schltr.",,66328
APOCYNACEAE,"Malouetia guatemalensis","(Müll. Arg.) Standl.",,66359
APOCYNACEAE,"Malouetia quadricasarum",Woodson,,66360
APOCYNACEAE,"Mandevilla villosa","(Miers) Woodson",,66378
APOCYNACEAE,"Marsdenia crassipes",Hemsl.,,66448
APOCYNACEAE,"Matelea denticulata","(Vahl) Fontella & E.A. Schwarz",,66470
APOCYNACEAE,"Matelea pinguifolia","(Standl.) Woodson",,66475
APOCYNACEAE,"Mesechites trifida","Mu|2ll. Arg. in Mart.",,81178
APOCYNACEAE,"Mesechites trifidus","(Jacq.) Müll. Arg.",,66660
APOCYNACEAE,"Metalepis peraffinis","(Woodson) Morillo",,66665
APOCYNACEAE,"Odontadenia macrantha","(Willd. ex Roem. & Schult.) Markgr.",,67222
APOCYNACEAE,"Odontadenia puncticulosa","(Rich.) Pulle",,67223
APOCYNACEAE,"Pinochia peninsularis","(Woodson) M.E. Endress & B.F. Hansen",,68149
APOCYNACEAE,"Prestonia ipomaeifolia","A. DC.",,68694
APOCYNACEAE,"Prestonia lenticellata","A.H. Gentry",,68695
APOCYNACEAE,"Prestonia mexicana","A. DC.",,68697
APOCYNACEAE,"Prestonia portobellensis","(Beurl.) Woodson",,68700
APOCYNACEAE,"Prestonia quinquangularis","(Jacq.) Spreng.",,68701
APOCYNACEAE,"Prestonia seemannii",Miers,,68702
APOCYNACEAE,"Prestonia trifida","(Poepp.) Woodson",,68703
APOCYNACEAE,"Rauvolfia littoralis",Rusby,,69038
APOCYNACEAE,"Rhabdadenia biflora","(Jacq.) Müll. Arg.",,69074
APOCYNACEAE,"Stemmadenia grandiflora","(Jacq.) Miers",,80326
APOCYNACEAE,"Tabernaemontana amygdalifolia",Jacq.,,70168
APOCYNACEAE,"Tabernaemontana arborea",Rose,,70169
APOCYNACEAE,"Tabernaemontana divaricata","(L.) R. Br. ex Roem. & Schult.",,70170
APOCYNACEAE,"Tassadia obovata",Decne.,,70214
APOCYNACEAE,"Thevetia ahouai","(L.) A. DC.",,70405
APOCYNACEAE,"Vailia anomala","(Brandeg.) W. D. Stevens",,171419
ARALIACEAE,"Dendropanax arboreus","(L.) Decne. & Planch.",,63928
ARALIACEAE,"Oreopanax capitatus","(Jacq.) Decne. & Planch.",,67328
ARALIACEAE,"Polyscias guilfoylei","(W. Bull) L.H. Bailey",,68601
