Family,ScientificName,ScientificNameAuthorship,Notes,TaxonId
AGAVACEAE,"Cordyline fruticosa","(L.) A. Chev.",,63538
ALISMATACEAE,"Sagittaria lancifolia",L.,,69293
ALISMATACEAE,"Sagittaria lancifolia subsp. lancifolia",,,78094
ALISMATACEAE,"Sagittaria lancifolia subsp. media","(Micheli) Bogin, 1955",,122150
AMARYLLIDACEAE,"Amaryllis belladonna",L.,,61621
AMARYLLIDACEAE,"Crinum bulbispermum","(Burm. f.) Milne-Redh. & Schweick.",,63618
AMARYLLIDACEAE,"Crinum erubescens",Aiton,,63620
AMARYLLIDACEAE,"Hymenocallis littoralis","(Jacq.) Salisb.",,65585
AMARYLLIDACEAE,"Hymenocallis pedalis",Herb.,,65586
ARACEAE,"Adelonema wendlandii","(Schott) S.Y.Wong & Croat",,180791
ARACEAE,"Alocasia navicularis","(K.Koch & C.D.Bouché) K.Koch & C.D.Bouché",,176386
ARACEAE,"Anthurium acutangulum",Engl.,,61713
ARACEAE,"Anthurium bakeri","Hook. f.",,61721
ARACEAE,"Anthurium brownii",Mast.,,61726
ARACEAE,"Anthurium clavigerum",Poepp.,,61738
ARACEAE,"Anthurium concolor","K. Krause",,61746
ARACEAE,"Anthurium durandii",Engl.,,61764
ARACEAE,"Anthurium flexile",Schott,,61769
ARACEAE,"Anthurium flexile subsp. flexile",,,176426
ARACEAE,"Anthurium friedrichsthalii",Schott,,61774
ARACEAE,"Anthurium gracile","(Rudge) Schott",,61779
ARACEAE,"Anthurium kunthii",Poepp.,,61795
ARACEAE,"Anthurium obtusum","(Engl.) Grayum",,61816
ARACEAE,"Anthurium ochranthum","K. Koch",,61817
ARACEAE,"Anthurium paludosum",Engl.,,61822
ARACEAE,"Anthurium pentaphyllum","(Aubl.) G. Don",,61828
ARACEAE,"Anthurium pentaphyllum var. bombacifolium","(Schott) Madison",,78162
ARACEAE,"Anthurium salvinii",Hemsl.,,61849
ARACEAE,"Anthurium scandens","(Aubl.) Engl.",,61852
ARACEAE,"Anthurium schlechtendalii",,,61853
ARACEAE,"Anthurium schlechtendalii subsp. schlechtendalii",,,77947
ARACEAE,"Caladium bicolor","(Aiton) Vent.",,62597
ARACEAE,"Dieffenbachia isthmia",Croat,,64095
ARACEAE,"Dieffenbachia longispatha","Engl. & K. Krause",,64097
ARACEAE,"Dieffenbachia obscurinervia",Croat,,64100
ARACEAE,"Dieffenbachia oerstedii",Schott,,64101
ARACEAE,"Dieffenbachia pittieri","Engl. & K. Krause",,64103
ARACEAE,"Dracontium soconuscum",Matuda,,64251
ARACEAE,"Homalomena wendlandii",Schott,,65526
ARACEAE,"Monstera adansonii",Schott,,66898
ARACEAE,"Monstera adansonii var. laniata","(Schott) Madison",,78375
ARACEAE,"Monstera dubia","(Kunth) Engl. & K. Krause",,66902
ARACEAE,"Monstera involuta","Croat & Grayum",,106956
ARACEAE,"Monstera pinnatipartita",Schott,,66911
ARACEAE,"Montrichardia arborescens","(L.) Schott",,66919
ARACEAE,"Philodendron alliodorum","Croat & Grayum",,67924
ARACEAE,"Philodendron brevispathum",Schott,,67934
ARACEAE,"Philodendron ernestii",Engl.,,67954
ARACEAE,"Philodendron fragrantissimum","(Hook.) G. Don",,67958
ARACEAE,"Philodendron grandipes","K. Krause",,67960
ARACEAE,"Philodendron guttiferum",Kunth,,67963
ARACEAE,"Philodendron hederaceum","(Jacq.) Schott",,67966
ARACEAE,"Philodendron hederaceum var. hederaceum",,,78407
ARACEAE,"Philodendron immixtum",Croat,,67970
ARACEAE,"Philodendron inaequilaterum",Liebm.,,67971
ARACEAE,"Philodendron jacquinii",Schott,,67972
ARACEAE,"Philodendron nervosum",Kunth,,67983
ARACEAE,"Philodendron opacum","Croat & Grayum",,67985
ARACEAE,"Philodendron panamense","K. Krause",,67986
ARACEAE,"Philodendron pterotum","K. Koch & Augustin",,67990
ARACEAE,"Philodendron radiatum",Schott,,67992
ARACEAE,"Philodendron radiatum radiatum",,,191498
ARACEAE,"Philodendron radiatum var. radiatum",,,78412
ARACEAE,"Philodendron rayanum","Croat & Grayum",,67993
ARACEAE,"Philodendron rigidifolium","K. Krause",,67995
ARACEAE,"Philodendron rigidifolium subsp. rigidifolium",,,171629
ARACEAE,"Philodendron sagittifolium",Liebm.,,67998
ARACEAE,"Philodendron scandens","K.Koch & Sello",,80263
ARACEAE,"Philodendron tripartitum","(Jacq.) Schott",,68011
ARACEAE,"Pistia stratiotes",L.,,68371
ARACEAE,"Rhodospatha moritziana",Schott,,69094
ARACEAE,"Rhodospatha wendlandii",Schott,,69097
ARACEAE,"Spathiphyllum friedrichsthalii",Schott,,69883
ARACEAE,"Spathiphyllum phryniifolium",Schott,,69889
