Family,ScientificName,ScientificNameAuthorship,Notes,TaxonId
ACANTHACEAE,"Justicia graciliflora","(Standl.) D.N. Gibson",,65871
ACANTHACEAE,"Mendoncia bivalvis","(L. f.) Merr.",,66638
ACANTHACEAE,"Mendoncia brenesii",Standl.,,66639
ACANTHACEAE,"Mendoncia cordata",Leonard,,66640
ACANTHACEAE,"Mendoncia costaricana",Oerst.,,66641
ACANTHACEAE,"Mendoncia gracilis",Turrill,,66642
ACANTHACEAE,"Mendoncia lindavii",Rusby,,66643
ACANTHACEAE,"Mendoncia retusa",Turrill,,66645
ACANTHACEAE,"Mendoncia tonduzii",Turrill,,66646
APOCYNACEAE,"Allamanda cathartica",L.,,61578
APOCYNACEAE,"Allomarkgrafia brenesiana",Woodson,,61581
APOCYNACEAE,"Allomarkgrafia campanulata","(Markgr.) J.F. Morales",,61582
APOCYNACEAE,"Allomarkgrafia plumeriiflora",Woodson,,61583
APOCYNACEAE,"Anechites nerium","(Aubl.) Urb.",,61670
APOCYNACEAE,"Blepharodon mucronatum","(Schltdl.) Decne.",,62413
APOCYNACEAE,"Cryptostegia madagascariensis","Bojer ex Decne.",,63692
APOCYNACEAE,"Cynanchum magdalenicum",Dugand,,95308
APOCYNACEAE,"Cynanchum montevidense",Spreng.,,63830
APOCYNACEAE,"Echites darienensis","J.F. Morales",,64334
APOCYNACEAE,"Echites turbinatus",Woodson,,64335
APOCYNACEAE,"Echites yucatanensis","Millsp. ex Standl.",,155634
APOCYNACEAE,"Fernaldia speciosissima",Woodson,,64859
APOCYNACEAE,"Fischeria billbergiana","(Beurl.) Morillo",,64920
APOCYNACEAE,"Fischeria brachycalyx","L.O. Williams",,64921
APOCYNACEAE,"Fischeria panamensis",Spellman,,64923
APOCYNACEAE,"Fischeria scandens",DC.,,99034
APOCYNACEAE,"Forsteronia acouci","(Aubl.) A. DC.",,64945
APOCYNACEAE,"Forsteronia myriantha","Donn. Sm.",,64947
APOCYNACEAE,"Forsteronia spicata","G. Mey.",,64948
APOCYNACEAE,"Funastrum bilobum","(Hook. & Arn.) J.F. Macbr.",,64961
APOCYNACEAE,"Funastrum clausum","(Jacq.) Schltr.",,64962
APOCYNACEAE,"Funastrum glaucum","(Kunth) Schltr.",,64963
APOCYNACEAE,"Gonolobus albomarginatus","(Pittier) Woodson",,65095
APOCYNACEAE,"Gonolobus chiriquensis","(Woodson) Woodson",,65096
APOCYNACEAE,"Gonolobus edulis",Hemsl.,,65097
APOCYNACEAE,"Gonolobus eriocladon",Benth.,,99938
APOCYNACEAE,"Gonolobus fuscoviolaceus",Woodson,,65099
APOCYNACEAE,"Gonolobus heterophyllus","(Hemsl.) W.D. Stevens",,65101
APOCYNACEAE,"Gonolobus inaequalis","L.O. Williams",,65102
APOCYNACEAE,"Gonolobus lewisii","L.O. Williams",,65103
APOCYNACEAE,"Gonolobus ophioglossa",Woodson,,65104
APOCYNACEAE,"Hoya carnosa",R.Br.,,101369
APOCYNACEAE,"Liedea filisepala",,,103588
APOCYNACEAE,"Mandevilla hirsuta","(Rich.) K. Schum.",,66373
APOCYNACEAE,"Mandevilla subsagittata","(Ruiz & Pav.) Woodson",,66376
APOCYNACEAE,"Mandevilla veraguasensis","(Seem.) Hemsl.",,66377
APOCYNACEAE,"Mandevilla villosa","(Miers) Woodson",,66378
APOCYNACEAE,"Marsdenia crassipes",Hemsl.,,66448
APOCYNACEAE,"Marsdenia dressleri",Spellman,,66449
APOCYNACEAE,"Marsdenia macrophylla","(Humb. & Bonpl. ex Schult.) E. Fourn.",,66450
APOCYNACEAE,"Marsdenia panamensis",Spellman,,66451
APOCYNACEAE,"Marsdenia rotheana",Woodson,,66452
APOCYNACEAE,"Marsdenia trivirgulata",Bartlett,,66453
APOCYNACEAE,"Marsdenia undulata","(Jacq.) Dugand",,66454
APOCYNACEAE,"Matelea denticulata","(Vahl) Fontella & E.A. Schwarz",,66470
APOCYNACEAE,"Matelea hirsuta","(Vahl) Woodson",,155640
APOCYNACEAE,"Matelea magnifolia","(Pittier) Woodson",,66472
APOCYNACEAE,"Matelea maritima","(Jacq.) Woodson",,105333
APOCYNACEAE,"Matelea panamensis","Spellman & Dwyer",,66473
APOCYNACEAE,"Matelea picturata","(Hemsl.) Woodson",,66474
APOCYNACEAE,"Matelea pinguifolia","(Standl.) Woodson",,66475
APOCYNACEAE,"Matelea squiresii","(Rusby) Morillo",,155641
APOCYNACEAE,"Matelea tristis","(Seem.) Spellman",,105365
APOCYNACEAE,"Matelea viridis",,,105370
APOCYNACEAE,"Mesechites trifidus","(Jacq.) Müll. Arg.",,66660
APOCYNACEAE,"Metalepis peraffinis","(Woodson) Morillo",,66665
APOCYNACEAE,"Metalepis prevostiae",Morillo,,66666
APOCYNACEAE,"Metastelma eliasianum",Dugand,,66667
APOCYNACEAE,"Odontadenia macrantha","(Willd. ex Roem. & Schult.) Markgr.",,67222
APOCYNACEAE,"Odontadenia puncticulosa","(Rich.) Pulle",,67223
APOCYNACEAE,"Odontadenia verrucosa","(Willd. ex Roem. & Schult.) K. Schum. ex Markgr.",,67224
