Family,ScientificName,ScientificNameAuthorship,Notes,TaxonId
ACANTHACEAE,"Aphelandra campanensis",Durkee,,61887
ACANTHACEAE,"Aphelandra darienensis",Wassh.,,61888
ACANTHACEAE,"Aphelandra dolichantha","Donn. Sm.",,61889
ACANTHACEAE,"Aphelandra golfodulcensis",McDade,,61891
ACANTHACEAE,"Aphelandra gracilis",Leonard,,61892
ACANTHACEAE,"Aphelandra hartwegiana",Nees,,61893
ACANTHACEAE,"Aphelandra laxa",Durkee,,61895
ACANTHACEAE,"Aphelandra leonardii",McDade,,61896
ACANTHACEAE,"Aphelandra lingua-bovis",Leonard,,61897
ACANTHACEAE,"Aphelandra panamensis",McDade,,61899
ACANTHACEAE,"Aphelandra scabra","(Vahl) Sm.",,61902
ACANTHACEAE,"Aphelandra scolnikiae",Leonard,,61903
ACANTHACEAE,"Aphelandra sinclairiana",Nees,,61905
ACANTHACEAE,"Aphelandra terryae",Standl.,,61907
ACANTHACEAE,"Bravaisia integerrima","(Spreng.) Standl.",,62495
ACANTHACEAE,"Pseuderanthemum carruthersii","(Seem.) Guillaumin",,113891
ACANTHACEAE,"Ruellia fulgida",Andrews,,69238
ACANTHACEAE,"Trichanthera gigantea","(Bonpl.) Nees",,70523
ACTINIDIACEAE,"Saurauia montana",Seem.,,69352
ACTINIDIACEAE,"Saurauia pittieri","Donn. Sm.",,69353
ACTINIDIACEAE,"Saurauia rubiformis",Vatke,,69354
ACTINIDIACEAE,"Saurauia seibertii",Standl.,,69355
ACTINIDIACEAE,"Saurauia yasicae",Loes.,,69356
ALZATEACEAE,"Alzatea verticillata","Ruiz & Pav.",,61611
ANACARDIACEAE,"Anacardium excelsum","(Bertero & Balb. ex Kunth) Skeels",,61651
ANACARDIACEAE,"Anacardium occidentale",L.,,61652
ANACARDIACEAE,"Astronium graveolens",Jacq.,,62139
ANACARDIACEAE,"Campnosperma panamense",Standl.,,62684
ANACARDIACEAE,"Mangifera indica",L.,,66386
ANACARDIACEAE,"Mauria heterophylla",Kunth,,66488
ANACARDIACEAE,"Mosquitoxylum jamaicense","Krug & Urb.",,66941
ANACARDIACEAE,"Ochoterenaea colombiana","F.A. Barkley",,77751
ANACARDIACEAE,"Schinus terebinthifolius",Raddi,,115891
ANACARDIACEAE,"Spondias dulcis",Parkinson,,69945
ANACARDIACEAE,"Spondias mombin",L.,,69946
ANACARDIACEAE,"Spondias purpurea",L.,,69947
ANACARDIACEAE,"Spondias radlkoferi","Donn. Sm.",,69948
ANACARDIACEAE,"Tapirira guianensis",Aubl.,,70207
ANACARDIACEAE,"Tapirira mexicana",Marchand,,70208
ANACARDIACEAE,"Toxicodendron striatum","(Ruiz & Pav.) Kuntze",,70502
ANNONACEAE,"Anaxagorea allenii","R.E. Fr.",,61656
ANNONACEAE,"Anaxagorea crassipetala",Hemsl.,,61657
ANNONACEAE,"Anaxagorea panamensis",Standl.,,61658
ANNONACEAE,"Anaxagorea phaeocarpa",Mart.,,61659
ANNONACEAE,"Annona acuminata",Saff.,,61690
ANNONACEAE,"Annona cherimola",Mill.,,61691
ANNONACEAE,"Annona glabra",L.,,61692
ANNONACEAE,"Annona hayesii",Saff.,,61693
ANNONACEAE,"Annona montana",Macfad.,,61695
ANNONACEAE,"Annona mucosa",Jacq.,,155605
ANNONACEAE,"Annona muricata",L.,,61696
ANNONACEAE,"Annona palmeri",Saff.,,88417
ANNONACEAE,"Annona papilionella","(Diels) H. Rainer",,61697
ANNONACEAE,"Annona pittieri","Donn. Sm.",,61698
ANNONACEAE,"Annona purpurea","Moc. & Sessé ex Dunal",,61699
ANNONACEAE,"Annona reticulata",L.,,61700
ANNONACEAE,"Annona scleroderma",Safford,,88423
ANNONACEAE,"Annona spraguei",Saff.,,61701
ANNONACEAE,"Annona squamosa",L.,,61702
ANNONACEAE,"Cananga odorata","(Lam.) Hook. f. & Thomson",,62708
ANNONACEAE,"Cremastosperma pacificum",,,94607
ANNONACEAE,"Cremastosperma panamense",Maas,,63613
ANNONACEAE,"Cymbopetalum costaricense","(Donn. Sm.) Saff.",,63823
ANNONACEAE,"Cymbopetalum lanugipetalum",Schery,,63824
ANNONACEAE,"Cymbopetalum rugulosum","N.A. Murray",,63825
ANNONACEAE,"Cymbopetalum torulosum","G.E. Schatz",,63826
ANNONACEAE,"Desmopsis bibracteata","(B.L. Rob.) Saff.",,63994
ANNONACEAE,"Desmopsis brevipes","R.E. Fr.",,155610
ANNONACEAE,"Desmopsis maxonii",Saff.,,63997
ANNONACEAE,"Desmopsis microcarpa","R.E. Fr.",,63998
ANNONACEAE,"Desmopsis oerstedii",Saff.,,63999
ANNONACEAE,"Desmopsis panamensis","(B.L. Rob.) Saff.",,64000
ANNONACEAE,"Duguetia confusa",Maas,,64306
ANNONACEAE,"Duguetia gentryi",Maas,,64307
ANNONACEAE,"Duguetia panamensis",Standl.,,64308
ANNONACEAE,"Duguetia tuberculata",Maas,,64309
ANNONACEAE,"Duguetia vallicola","J.F. Macbr.",,64310
ANNONACEAE,"Guatteria aberrans","Erkens & Maas",,65167
ANNONACEAE,"Guatteria aeruginosa",Standl.,,65168
ANNONACEAE,"Guatteria alata","Maas & Setten",,65169
ANNONACEAE,"Guatteria allenii","R.E. Fr.",,65170
ANNONACEAE,"Guatteria amplifolia","Triana & Planch.",,65171
ANNONACEAE,"Guatteria chiriquiensis","R.E. Fr.",,65172
ANNONACEAE,"Guatteria dolichopoda","Donn. Sm.",,65175
ANNONACEAE,"Guatteria inuncta",R.E.Fr.,,100185
ANNONACEAE,"Guatteria jefensis",Barringer,,65177
ANNONACEAE,"Guatteria lucens",Standl.,,65178
ANNONACEAE,"Guatteria oliviformis","Donn. Sm.",,65179
ANNONACEAE,"Guatteria panamensis","(R.E. Fr.) R.E. Fr.",,65180
ANNONACEAE,"Guatteria recurvisepala","R.E. Fr.",,65181
ANNONACEAE,"Guatteria rotundata","Maas & Setten",,65182
ANNONACEAE,"Guatteria sessilicarpa","Maas & Setten",,65183
ANNONACEAE,"Guatteria slateri",Standl.,,65184
ANNONACEAE,"Guatteria tonduzii",Diels,,65187
ANNONACEAE,"Klarobelia anomala","(R.E. Fr.) Chatrou",,65906
ANNONACEAE,"Malmea dimera",Chatrou,,66358
ANNONACEAE,"Mosannona garwoodii","Chatrou & Welzenis",,66938
ANNONACEAE,"Mosannona hypoglauca","(Standl.) Chatrou",,66939
ANNONACEAE,"Mosannona maculata","Chatrou & Welzenis",,66940
ANNONACEAE,"Oxandra longipetala","R.E. Fr.",,67399
ANNONACEAE,"Oxandra panamensis","R.E. Fr.",,67400
ANNONACEAE,"Oxandra venezuelana","R. E. Fr.",,109105
ANNONACEAE,"Polyalthia longifolia","(Sonn.) Thwaites",,155628
ANNONACEAE,"Porcelia magnifructa","(Schery) R.E. Fr.",,68628
ANNONACEAE,"Sapranthus viridiflorus","G. E. Schatz",,115565
ANNONACEAE,"Stenanona panamensis",Standl.,,70017
ANNONACEAE,"Unonopsis bullata","Maas & G.E. Schatz",,70689
ANNONACEAE,"Unonopsis costaricensis",R.E.Fr.,,120664
ANNONACEAE,"Unonopsis macrocarpa","Maas & Setten",,70692
ANNONACEAE,"Unonopsis panamensis","R.E. Fr.",,70695
ANNONACEAE,"Unonopsis pittieri",Saff.,,70696
ANNONACEAE,"Unonopsis storkii","Standl. & L.O. Williams",,70697
ANNONACEAE,"Unonopsis theobromifolia","N. Zamora & Poveda",,70698
ANNONACEAE,"Xylopia aromatica","(Lam.) Mart.",,70963
ANNONACEAE,"Xylopia bocatorena",Schery,,70964
ANNONACEAE,"Xylopia frutescens",Aubl.,,70966
ANNONACEAE,"Xylopia macrantha","Triana & Planch.",,70967
ANNONACEAE,"Xylopia panamensis","G.E. Schatz",,70968
ANNONACEAE,"Xylopia sericea","A. St.-Hil.",,70969
APOCYNACEAE,"Alstonia longifolia","(A. DC.) Pichon",,61603
APOCYNACEAE,"Aspidosperma darienense","Woodson ex Dwyer",,62051
APOCYNACEAE,"Aspidosperma desmanthum","Benth. ex Müll. Arg.",,62052
APOCYNACEAE,"Aspidosperma excelsum",Benth.,,62053
APOCYNACEAE,"Aspidosperma megalocarpon","Müll. Arg.",,62054
APOCYNACEAE,"Carissa edulis",Vahl,,92294
APOCYNACEAE,"Cascabela thevetia","(L.) Lippold",,155606
APOCYNACEAE,"Couma macrocarpa","Barb. Rodr.",,63576
