Family,ScientificName,ScientificNameAuthorship,Notes,TaxonId
ASPLENIACEAE,"Asplenium abscissum",Willd.,,62057
ASPLENIACEAE,"Asplenium auritum",Sw.,,62061
ASPLENIACEAE,"Asplenium hoffmannii",Hieron.,,62075
ASPLENIACEAE,"Asplenium juglandifolium",Lam.,,62077
ASPLENIACEAE,"Asplenium serratum",L.,,62100
ASPLENIACEAE,"Hymenasplenium delitescens","(Maxon) L. Regalado & Prada",,176767
BLECHNACEAE,"Blechnum occidentale",L.,,62403
BLECHNACEAE,"Telmatoblechnum serrulatum","(Rich.) Perrie, D. J. Ohlsen & Brownsey",,181543
CYATHEACEAE,"Alsophila cuspidata","(Kunze) D.S. Conant",,61597
CYATHEACEAE,"Alsophila firma","(Baker) D.S. Conant",,61599
CYATHEACEAE,"Cyathea bicrenata",Liebm.,,63754
CYATHEACEAE,"Cyathea divergens",Kunze,,63762
CYATHEACEAE,"Cyathea microdonta","(Desv.) Domin",,63771
CYATHEACEAE,"Cyathea petiolata","(Hook.) R.M. Tryon",,63776
DAVALLIACEAE,"Nephrolepis biserrata","(Sw.) Schott",,67086
DAVALLIACEAE,"Nephrolepis obtusiloba","A. Rojas",,177207
DAVALLIACEAE,"Nephrolepis pendula","(Raddi) J. Sm.",,67089
DENNSTAEDTIACEAE,"Dennstaedtia cicutaria","(Sw.) T. Moore",,63955
DENNSTAEDTIACEAE,"Lindsaea stricta","(Sw.) Dryand.",,66126
DENNSTAEDTIACEAE,"Lindsaea stricta var. stricta",,,78349
DENNSTAEDTIACEAE,"Saccoloma elegans",Kaulf.,,69288
DENNSTAEDTIACEAE,"Saccoloma elegans subsp. chartaceum","G.B. Nair ex Cremers & K.U. Kramer",,78092
DENNSTAEDTIACEAE,"Saccoloma inaequale","(Kunze) Mett.",,69289
DRYOPTERIDACEAE,"Acrostichum aureum",L.,,61433
DRYOPTERIDACEAE,"Acrostichum danaeifolium","Langsd. & Fisch.",,61434
DRYOPTERIDACEAE,"Dryopteris patula","(Sw.) Underw.",,64300
DRYOPTERIDACEAE,"Maxonia apiifolia","(Sw.) C. Chr.",,66581
DRYOPTERIDACEAE,"Maxonia apiifolia var. dualis","(Donn. Sm.) C. Chr.",,78360
DRYOPTERIDACEAE,"Mickelia nicotianifolia","(Sw.) Alston",,155906
DRYOPTERIDACEAE,"Polybotrya caudata",Kunze,,68551
DRYOPTERIDACEAE,"Polybotrya polybotryoides","(Baker) Christ",,68553
