"sp6"	"sp4"	"family"	"genus"	"species"	"subspecies"	"author"
"abarid"	NA	"Fabaceae"	"Jupunba"	"idiopoda"	NA	"(S.F. Blake) M.V.B. Soares, M.P. Morim & Iganci"
"ade1tr"	"ADET"	"Euphorbiaceae"	"Adelia"	"triloba"	NA	"(Müll. Arg.) Hemsl."
"alchco"	"ALCC"	"Euphorbiaceae"	"Alchornea"	"costaricensis"	NA	"Pax & K. Hoffm."
"alchla"	"ALCL"	"Euphorbiaceae"	"Alchornea"	"latifolia"	NA	"Sw."
"allops"	"ALLP"	"Sapindaceae"	"Allophylus"	"psilospermus"	NA	"Radlk."
"alsebl"	"ALSB"	"Rubiaceae"	"Alseis"	"blackiana"	NA	"Hemsl."
"amaico"	"AMAC"	"Rubiaceae"	"Amaioua"	"glomerulata"	NA	"(Lam. ex Poir.) Delprete & C.H. Perss."
"anacex"	"ANAE"	"Anacardiaceae"	"Anacardium"	"excelsum"	NA	"(Bertero & Balb. ex Kunth) Skeels"
"andiin"	"ANDI"	"Fabaceae"	"Andira"	"inermis"	NA	"(W. Wright) Kunth ex DC."
"annosp"	"ANNS"	"Annonaceae"	"Annona"	"spraguei"	NA	"Saff."
"apeime"	"APEM"	"Malvaceae"	"Apeiba"	"membranacea"	NA	"Spruce ex Benth."
"apeiti"	"APET"	"Malvaceae"	"Apeiba"	"tibourbou"	NA	"Aubl."
"ardife"	"ARDF"	"Primulaceae"	"Ardisia"	"copeyana"	NA	"Standl."
"aspicr"	"ASPC"	"Apocynaceae"	"Aspidosperma"	"desmanthum"	NA	"Benth. ex Müll. Arg."
"ast1st"	"ASTS"	"Arecaceae"	"Astrocaryum"	"standleyanum"	NA	"L.H. Bailey"
"ast2gr"	"ASTG"	"Anacardiaceae"	"Astronium"	"graveolens"	NA	"Jacq."
"beilpe"	"BEIP"	"Lauraceae"	"Beilschmiedia"	"tovarensis"	NA	"(Klotzsch & H. Karst. ex Meisn.) Sachiko Nishida"
"brosal"	"BROA"	"Moraceae"	"Brosimum"	"alicastrum"	NA	"Sw."
"brosgu"	"BROG"	"Moraceae"	"Brosimum"	"guianense"	NA	"Huber ex Ducke"
"buchca"	NA	"Combretaceae"	"Terminalia"	"tetraphylla"	NA	"(Aubl.) Gere & Boatwr."
"calolo"	"CAL2"	"Calophyllaceae"	"Calophyllum"	"longifolium"	NA	"Willd."
"casear"	"CAS2"	"Salicaceae"	"Casearia"	"arborea"	NA	"(Rich.) Urb."
"caseco"	"CASC"	"Salicaceae"	"Piparea"	"dentata"	NA	"Aubl."
"casegu"	"CASG"	"Salicaceae"	"Casearia"	"guianensis"	NA	"(Aubl.) Urb."
"casesy"	"CASS"	"Salicaceae"	"Casearia"	"sylvestris"	NA	"Sw."
"cassel"	"CAS3"	"Rhizophoraceae"	"Cassipourea"	"elliptica"	NA	"(Sw.) Poir."
"cavapl"	"CAVP"	"Malvaceae"	"Cavanillesia"	"platanifolia"	NA	"(Bonpl.) Kunth"
"cecrin"	"CECI"	"Urticaceae"	"Cecropia"	"insignis"	NA	"Liebm."
"cecrob"	"CECO"	"Urticaceae"	"Cecropia"	"obtusifolia"	NA	"Bertol."
"cecrpe"	"CECP"	"Urticaceae"	"Cecropia"	"peltata"	NA	"L."
"cedrod"	"CEDO"	"Meliaceae"	"Cedrela"	"odorata"	NA	"L."
"ceibpe"	"CEIP"	"Malvaceae"	"Ceiba"	"pentandra"	NA	"(L.) Gaertn."
"celtsc"	"CELS"	"Cannabaceae"	"Sparrea"	"schippii"	NA	"Hunz. & Dottori"
"cespma"	"CES1"	"Ochnaceae"	"Cespedesia"	"spathulata"	NA	"Planch."
"chr2ar"	"CHRA"	"Sapotaceae"	"Chrysophyllum"	"argenteum"	NA	"Jacq."
"chr2ca"	"CHRC"	"Sapotaceae"	"Chrysophyllum"	"cainito"	NA	"L."
"coccco"	"COCC"	"Polygonaceae"	"Coccoloba"	"coronata"	NA	"Jacq."
"coccma"	"COCM"	"Polygonaceae"	"Coccoloba"	"manzinellensis"	NA	"Beurl."
"cordal"	"CORA"	"Boraginaceae"	"Cordia"	"alliodora"	NA	"(Ruiz & Pav.) Oken"
"cordbi"	"CORB"	"Boraginaceae"	"Cordia"	"bicolor"	NA	"A. DC."
"cordla"	"CORL"	"Boraginaceae"	"Cordia"	"lasiocalyx"	NA	"Pittier"
"cordpa"	"CORP"	"Boraginaceae"	"Cordia"	"panamensis"	NA	"L. Riley"
"courpa"	"COUP"	"Lecythidaceae"	"Couratari"	"guianensis"	NA	"Aubl."
"couthe"	"COUH"	"Rubiaceae"	"Coutarea"	"hexandra"	NA	"(Jacq.) K. Schum."
"cratta"	NA	"Capparaceae"	"Crateva"	"tapia"	NA	"L."
"crotbi"	"CROB"	"Euphorbiaceae"	"Croton"	"billbergianus"	NA	"Müll. Arg."
"cupaci"	"CUPC"	"Sapindaceae"	"Cupania"	"cinerea"	NA	"Poepp. & Endl."
"cupala"	"CUPL"	"Sapindaceae"	"Cupania"	"latifolia"	NA	"Kunth"
"cuparu"	"CUPR"	"Sapindaceae"	"Cupania"	"rufescens"	NA	"Triana & Planch."
"cupasy"	"CUPS"	"Sapindaceae"	"Cupania"	"seemannii"	NA	"Triana & Planch."
"dendar"	"DENA"	"Araliaceae"	"Dendropanax"	"arboreus"	NA	"(L.) Decne. & Planch."
"dio2ar"	"DIO2"	"Ebenaceae"	"Diospyros"	"artanthifolia"	NA	"Mart. ex Miq."
"diptpa"	"DIPP"	"Fabaceae"	"Dipteryx"	"oleifera"	NA	"Benth."
"drypst"	"DRYS"	"Putranjivaceae"	"Drypetes"	"standleyi"	NA	"G.L. Webster"
"entecy"	"ENTC"	"Fabaceae"	"Enterolobium"	"cyclocarpum"	NA	"(Jacq.) Griseb."
"entesc"	"ENTS"	"Fabaceae"	"Robrichia"	"schomburgkii"	NA	"(Benth.) A.R.M. Luz & E.R. Souza"
"ery2ma"	"ERYM"	"Erythroxylaceae"	"Erythroxylum"	"macrophyllum"	NA	"Cav."
"eugeco"	"EUGC"	"Myrtaceae"	"Eugenia"	"florida"	NA	"DC."
"eugega"	"EUGG"	"Myrtaceae"	"Eugenia"	"galalonensis"	NA	"(C. Wright ex Griseb.) Krug & Urb."
"eugene"	"EUGN"	"Myrtaceae"	"Eugenia"	"nesiotica"	NA	"Standl."
"eugeoe"	"EUGO"	"Myrtaceae"	"Eugenia"	"oerstediana"	NA	"O. Berg"
"faraoc"	"FARO"	"Rubiaceae"	"Faramea"	"occidentalis"	NA	"(L.) A. Rich."
"ficubu"	"FIBU"	"Moraceae"	"Ficus"	"matiziana"	NA	"Dugand"
"ficuin"	"FIIN"	"Moraceae"	"Ficus"	"insipida"	NA	"Willd."
"ficuma"	"FIMA"	"Moraceae"	"Ficus"	"maxima"	NA	"Mill."
"ficuob"	"FIOB"	"Moraceae"	"Ficus"	"obtusifolia"	NA	"Kunth"
"ficupo"	"FIPO"	"Moraceae"	"Ficus"	"popenoei"	NA	"Standl."
"ficuto"	"FITO"	"Moraceae"	"Ficus"	"tonduzii"	NA	"Standl."
"ficuyo"	"FIYO"	"Moraceae"	"Ficus"	"yoponensis"	NA	"Desv."
"gar2in"	"RHEE"	"Clusiaceae"	"Garcinia"	"intermedia"	NA	"(Pittier) Hammel"
"gar2ma"	"RHEA"	"Clusiaceae"	"Garcinia"	"madruno"	NA	"(Kunth) Hammel"
"geniam"	"GENA"	"Rubiaceae"	"Genipa"	"americana"	NA	"L."
"guapst"	"GUAS"	"Nyctaginaceae"	"Guapira"	"myrtiflora"	NA	"(Standl.) Little"
"guargr"	NA	"Meliaceae"	"Guarea"	"grandifolia"	NA	"DC."
"guargu"	"GUA2"	"Meliaceae"	"Guarea"	"guidonia"	NA	"(L.) Sleumer"
"guarsp"	"GUA3"	"Meliaceae"	"Guarea"	"bullata"	NA	"Radlk."
"guatdu"	"GUAD"	"Annonaceae"	"Guatteria"	"lucens"	NA	"Standl."
"guazul"	"GUAU"	"Malvaceae"	"Guazuma"	"ulmifolia"	NA	"Lam."
"guetfo"	"GUEF"	"Rubiaceae"	"Guettarda"	"foliacea"	NA	"Standl."
"gustsu"	"GUSS"	"Lecythidaceae"	"Gustavia"	"superba"	NA	"(Kunth) O. Berg"
"hampap"	"HAM2"	"Malvaceae"	"Hampea"	"appendiculata"	NA	"Standl."
"hassfl"	"HASF"	"Salicaceae"	"Hasseltia"	"floribunda"	NA	"Kunth"
"heisac"	"HEIA"	"Olacaceae"	"Heisteria"	"acuminata"	NA	"(Bonpl.) Engl."
"heisc1"	"HEI2"	"Olacaceae"	"Heisteria"	"costaricensis"	NA	"Donn. Sm."
"heisco"	"HEIC"	"Olacaceae"	"Heisteria"	"concinna"	NA	"Standl."
"hirtam"	"HIRA"	"Chrysobalanaceae"	"Hirtella"	"americana"	NA	"L."
"hirttr"	"HIRT"	"Chrysobalanaceae"	"Hirtella"	"triandra"	NA	"Sw."
"huracr"	"HURC"	"Euphorbiaceae"	"Hura"	"crepitans"	NA	"L."
"hyeral"	"HYEL"	"Phyllanthaceae"	"Hieronyma"	"alchorneoides"	NA	"Allemao"
"hymeco"	"HYMC"	"Fabaceae"	"Hymenaea"	"courbaril"	NA	"L."
"ingaco"	"INCO"	"Fabaceae"	"Inga"	"cocleensis"	NA	"Pittier"
"ingafa"	"INFA"	"Fabaceae"	"Inga"	"laurina"	NA	"(Sw.) Willd."
"ingago"	"INGO"	"Fabaceae"	"Inga"	"goldmanii"	NA	"Pittier"
"ingam2"	"INM2"	"Fabaceae"	"Inga"	"multijuga"	NA	"Benth."
"ingama"	"INMA"	"Fabaceae"	"Inga"	"marginata"	NA	"Willd."
"ingapa"	"INPA"	"Fabaceae"	"Inga"	"pauciflora"	NA	"Walp. & Duchass."
"ingape"	"INPE"	"Fabaceae"	"Inga"	"pezizifera"	NA	"Benth."
"ingapu"	"INPU"	"Fabaceae"	"Inga"	"punctata"	NA	"Willd."
"ingas1"	"INAC"	"Fabaceae"	"Inga"	"acuminata"	NA	"Benth."
"ingasa"	"INSA"	"Fabaceae"	"Inga"	"sapindoides"	NA	"Willd."
"ingasp"	"INSP"	"Fabaceae"	"Inga"	"spectabilis"	NA	"(Vahl) Willd."
"ingath"	"INTH"	"Fabaceae"	"Inga"	"thibaudiana"	NA	"DC."
"ingaum"	"INUM"	"Fabaceae"	"Inga"	"umbellifera"	NA	"(Vahl) Steud. ex DC."
"ingave"	"INVE"	"Fabaceae"	"Inga"	"vera"	NA	"Willd."
"jac1co"	"JACC"	"Bignoniaceae"	"Jacaranda"	"copaia"	NA	"(Aubl.) D. Don"
"jac2sp"	"JACS"	"Caricaceae"	"Jacaratia"	"spinosa"	NA	"(Aubl.) A. DC."
"laciag"	"LACA"	"Lacistemataceae"	"Lacistema"	"aggregatum"	NA	"(P.J. Bergius) Rusby"
"lacmpa"	"LACP"	"Apocynaceae"	"Lacmellea"	"panamensis"	NA	"(Woodson) Markgr."
"laetpr"	"LAEP"	"Salicaceae"	"Casearia"	"bicolor"	NA	"Urb."
"lafopu"	"LAFP"	"Lythraceae"	"Lafoensia"	"punicifolia"	NA	"DC."
"licahy"	"LICH"	"Chrysobalanaceae"	"Licania"	"hypoleuca"	NA	"Benth."
"licapl"	"LICP"	"Chrysobalanaceae"	"Moquilea"	"platypus"	NA	"Hemsl."
"lindla"	"LINL"	"Achariaceae"	"Lindackeria"	"laurina"	NA	"C. Presl"
"loncla"	"LONL"	"Fabaceae"	"Lonchocarpus"	"heptaphyllus"	NA	"(Poir.) DC."
"luehse"	"LUE1"	"Malvaceae"	"Luehea"	"seemannii"	NA	"Triana & Planch."
"maclti"	"MACT"	"Moraceae"	"Maclura"	"tinctoria"	NA	"(L.) D. Don ex Steud."
"macrgl"	"MACG"	"Rubiaceae"	"Macrocnemum"	"roseum"	NA	"(Ruiz & Pav.) Wedd."
"mangin"	"MANI"	"Anacardiaceae"	"Mangifera"	"indica"	NA	"L."
"maquco"	"MAQC"	"Moraceae"	"Maquira"	"guianensis"	NA	"Aubl."
"mar1la"	"MARL"	"Calophyllaceae"	"Marila"	"laxiflora"	NA	"Rusby"
"margno"	"MAR2"	"Phyllanthaceae"	"Margaritaria"	"nobilis"	NA	"L.f."
"mataap"	"MATA"	"Sapindaceae"	"Matayba"	"oppositifolia"	NA	"Britton"
"maytsc"	"MAYS"	"Celastraceae"	"Maytenus"	"schippii"	NA	"Lundell"
"micoar"	"MIC2"	"Melastomataceae"	"Miconia"	"argentea"	NA	"(Sw.) DC."
"micoho"	"MICH"	"Melastomataceae"	"Miconia"	"hondurensis"	NA	"Donn. Sm."
"myr2fl"	"MYRF"	"Myrtaceae"	"Myrciaria"	"floribunda"	NA	"(H. West ex Willd.) O. Berg"
"myrcga"	"MYRG"	"Myrtaceae"	"Myrcia"	"splendens"	NA	"(Sw.) DC."
"myrcze"	"MYRZ"	"Myrtaceae"	"Myrcia"	"tomentosa"	NA	"(Aubl.) DC."
"nectci"	"NECC"	"Lauraceae"	"Nectandra"	"cissiflora"	NA	"Nees"
"nectcu"	"NEC2"	"Lauraceae"	"Nectandra"	"cuspidata"	NA	"Nees & Mart."
"nectgl"	"NECL"	"Lauraceae"	"Nectandra"	"lineata"	NA	"(Kunth) Rohwer"
"nectpu"	"NECP"	"Lauraceae"	"Damburneya"	"purpurea"	NA	"(Ruiz & Pav.) Trofimov"
"nectsp"	NA	"Lauraceae"	"Nectandra"	NA	NA	NA
"ochrpy"	"OCHP"	"Malvaceae"	"Ochroma"	"pyramidale"	NA	"(Cav. ex Lam.) Urb."
"ocotce"	"OCOC"	"Lauraceae"	"Ocotea"	"leptobotra"	NA	"(Ruiz & Pav.) Mez"
"ocotob"	"OCOO"	"Lauraceae"	"Ocotea"	"oblonga"	NA	"(Meisn.) Mez"
"ocotpu"	"OCOP"	"Lauraceae"	"Ocotea"	"puberula"	NA	"(Rich.) Nees"
"ocotwh"	"OCOS"	"Lauraceae"	"Ocotea"	"whitei"	NA	"Woodson"
"oenoma"	"OENM"	"Arecaceae"	"Oenocarpus"	"mapora"	NA	"H. Karst."
"ormoam"	"ORMA"	"Fabaceae"	"Ormosia"	"amazonica"	NA	"Ducke"
"ormocr"	"ORMC"	"Fabaceae"	"Ormosia"	"coccinea"	NA	"(Aubl.) Jacks."
"ormoma"	"ORMM"	"Fabaceae"	"Ormosia"	"macrocalyx"	NA	"Ducke"
"pel2pu"	"PELP"	"Fabaceae"	"Peltogyne"	"purpurea"	NA	"Pittier"
"perexa"	"PERX"	"Moraceae"	"Perebea"	"xanthochyma"	NA	"H.Karst."
"persam"	"PER1"	"Lauraceae"	"Persea"	"americana"	NA	"Mill."
"phoeci"	"PHOM"	"Lauraceae"	"Aiouea"	"montana"	NA	"(Sw.) R. Rohde"
"pit1ba"	"ABAB"	"Fabaceae"	"Jupunba"	"barbouriana"	NA	"(Standl.) M.V.B. Soares, M.P. Morim & Iganci"
"pit1ma"	"PITM"	"Fabaceae"	"Jupunba"	"macradenia"	NA	"(Pittier) M.V.B. Soares, M.P. Morim & Iganci"
"pit1ru"	"PITR"	"Fabaceae"	"Cojoba"	"rufescens"	NA	"(Benth.) Britton & Rose"
