"plot"	"census"	"tag"	"dbh"	"code"	"exposure"
"10ha"	2004	19077	634	NA	NA
"10ha"	2004	19077	33	NA	NA
"10ha"	2004	19126	343	NA	NA
"10ha"	2004	19126	272	NA	NA
"10ha"	2004	19597	214	NA	NA
"10ha"	2004	19597	35	NA	NA
"10ha"	2004	19597	29	NA	NA
"10ha"	2004	19597	19	NA	NA
"10ha"	2004	19597	15	NA	NA
"10ha"	2004	19597	13	NA	NA
"10ha"	2004	19597	12	NA	NA
"10ha"	2004	19603	538	NA	NA
"10ha"	2004	19603	25	NA	NA
"10ha"	2004	19603	12	NA	NA
"10ha"	2004	19954	348	NA	NA
"10ha"	2004	19954	44	NA	NA
"10ha"	2004	22418	285	NA	NA
"10ha"	2004	22418	135	NA	NA
"10ha"	2004	22421	290	NA	NA
"10ha"	2004	22421	162	NA	NA
"10ha"	2004	22421	63	NA	NA
"10ha"	2004	22421	45	NA	NA
"10ha"	2004	22421	40	NA	NA
"10ha"	2004	22435	218	NA	NA
"10ha"	2004	22435	24	NA	NA
"10ha"	2004	22435	13	NA	NA
"10ha"	2004	22435	12	NA	NA
"10ha"	2004	22444	616	NA	NA
"10ha"	2004	22444	247	NA	NA
"10ha"	2004	22454	527	NA	NA
"10ha"	2004	22454	187	NA	NA
"10ha"	2004	22462	1088	NA	NA
"10ha"	2004	22462	22	NA	NA
"10ha"	2004	22462	22	NA	NA
"10ha"	2004	22462	19	NA	NA
"10ha"	2004	22462	14	NA	NA
"10ha"	2004	22470	304	NA	NA
"10ha"	2004	22470	74	NA	NA
"10ha"	2004	22474	731	NA	NA
"10ha"	2004	22474	342	NA	NA
"10ha"	2004	24811	658	NA	NA
"10ha"	2004	24811	21	NA	NA
"10ha"	2004	24811	15	NA	NA
"10ha"	2004	24811	15	NA	NA
"10ha"	2004	24811	14	NA	NA
"10ha"	2004	24811	10	NA	NA
"10ha"	2004	24869	530	NA	NA
"10ha"	2004	24869	13	NA	NA
"10ha"	2004	24869	12	NA	NA
"10ha"	2004	24869	10	NA	NA
"10ha"	2004	24872	514	NA	NA
"10ha"	2004	24872	352	NA	NA
"10ha"	2004	24880	453	NA	NA
"10ha"	2004	24880	46	NA	NA
"10ha"	2004	24880	45	NA	NA
"10ha"	2004	24880	33	NA	NA
"10ha"	2004	24880	17	NA	NA
"10ha"	2004	24890	236	NA	NA
"10ha"	2004	24890	41	NA	NA
"10ha"	2004	24890	28	NA	NA
"10ha"	2004	24890	27	NA	NA
"10ha"	2004	24890	19	NA	NA
"10ha"	2004	24895	292	NA	NA
"10ha"	2004	24895	47	NA	NA
"10ha"	2004	24895	39	NA	NA
"10ha"	2004	29307	610	NA	NA
"10ha"	2004	29307	450	NA	NA
"10ha"	2004	29311	357	NA	NA
"10ha"	2004	29311	15	NA	NA
"10ha"	2004	29311	12	NA	NA
"10ha"	2004	29314	570	NA	NA
"10ha"	2004	29314	33	NA	NA
"10ha"	2004	29314	24	NA	NA
"10ha"	2004	29325	396	NA	NA
"10ha"	2004	29325	43	NA	NA
"10ha"	2004	29331	242	NA	NA
"10ha"	2004	29331	24	NA	NA
"10ha"	2004	29334	459	NA	NA
"10ha"	2004	29334	17	NA	NA
"10ha"	2004	38009	210	NA	NA
"10ha"	2004	38009	48	NA	NA
"10ha"	2004	38012	210	NA	NA
"10ha"	2004	38012	165	NA	NA
"10ha"	2004	38028	217	NA	NA
"10ha"	2004	38028	13	NA	NA
"10ha"	2004	38028	11	NA	NA
"10ha"	2004	38058	18	NA	NA
"10ha"	2004	38058	208	NA	NA
"10ha"	2004	38058	57	NA	NA
"10ha"	2004	38063	202	NA	NA
"10ha"	2004	38063	120	NA	NA
"10ha"	2004	38082	204	NA	NA
"10ha"	2004	38082	20	NA	NA
"10ha"	2004	38093	219	NA	NA
"10ha"	2004	38093	23	NA	NA
"10ha"	2004	38093	19	NA	NA
"10ha"	2004	38111	260	NA	NA
"10ha"	2004	38111	33	NA	NA
"10ha"	2004	38111	12	NA	NA
"10ha"	2004	38111	12	NA	NA
"10ha"	2004	38111	10	NA	NA
"10ha"	2004	38181	516	NA	NA
"10ha"	2004	38181	404	NA	NA
"10ha"	2004	38194	202	NA	NA
"10ha"	2004	38194	44	NA	NA
"10ha"	2004	38194	41	NA	NA
"10ha"	2004	38194	32	NA	NA
"10ha"	2004	38194	29	NA	NA
"10ha"	2004	38194	22	NA	NA
"10ha"	2004	38194	15	NA	NA
"10ha"	2004	38194	11	NA	NA
"10ha"	2004	38201	481	NA	NA
"10ha"	2004	38201	181	NA	NA
"10ha"	2004	38209	311	NA	NA
"10ha"	2004	38209	23	NA	NA
"10ha"	2004	38217	235	NA	NA
"10ha"	2004	38217	57	NA	NA
"10ha"	2004	38217	52	NA	NA
"10ha"	2004	38217	41	NA	NA
"10ha"	2004	38217	35	NA	NA
"10ha"	2004	38217	25	NA	NA
"10ha"	2004	38217	22	NA	NA
"10ha"	2004	38226	472	NA	NA
"10ha"	2004	38226	32	NA	NA
"10ha"	2004	38226	16	NA	NA
"10ha"	2004	38226	16	NA	NA
"10ha"	2004	38226	15	NA	NA
"10ha"	2004	38226	15	NA	NA
"10ha"	2004	38226	15	NA	NA
"10ha"	2004	38226	15	NA	NA
"10ha"	2004	38226	14	NA	NA
"10ha"	2004	38226	12	NA	NA
"10ha"	2004	38231	619	NA	NA
"10ha"	2004	38231	31	NA	NA
"10ha"	2004	38231	25	NA	NA
"10ha"	2004	38231	24	NA	NA
"10ha"	2004	38251	884	NA	NA
"10ha"	2004	38251	208	NA	NA
"10ha"	2004	38251	85	NA	NA
"10ha"	2004	38264	215	NA	NA
"10ha"	2004	38264	65	NA	NA
"10ha"	2004	38264	55	NA	NA
"10ha"	2004	38274	224	NA	NA
"10ha"	2004	38274	12	NA	NA
"10ha"	2004	38301	24	NA	NA
"10ha"	2004	38301	41	NA	NA
"10ha"	2004	38301	35	NA	NA
"10ha"	2004	38301	34	NA	NA
"10ha"	2004	38301	35	NA	NA
"10ha"	2004	38301	32	NA	NA
"10ha"	2004	38301	31	NA	NA
"10ha"	2004	38301	18	NA	NA
"10ha"	2004	38310	498	NA	NA
"10ha"	2004	38310	77	NA	NA
"10ha"	2004	38310	69	NA	NA
"10ha"	2004	38310	30	NA	NA
"10ha"	2004	38311	379	NA	NA
"10ha"	2004	38311	21	NA	NA
"10ha"	2004	38311	18	NA	NA
"10ha"	2004	38311	14	NA	NA
"10ha"	2004	38311	13	NA	NA
"10ha"	2004	38311	13	NA	NA
"10ha"	2004	38311	13	NA	NA
"10ha"	2004	38311	12	NA	NA
"10ha"	2004	38311	12	NA	NA
"10ha"	2004	38315	295	NA	NA
