Species Code (Mnemonic),Family,Genus,Species,Authority,Family (former),Genus (former),Species (former),Authority (former)
ACACAC,Fabaceae,Senegalia,acanthopylla,Benth.(Britton & Rose) Standl.».),NA,Acacia,acanthopylla,Britton & Rose) Standl.
PSEUAC,Cucurbitaceae,Pteropepon,acariianthum,(Harms) H.Schaef. & S.S. Renner,NA,Pseudosicydium ,acariianthum,Harms
BYTTAC,Sterculiaceae,Ayenia,aculeata,(Jacq.) Christenh. & Byng,NA,Byttneria,aculeata,(Jacq.) Jacq.
MACHAR,Fabaceae,Machaerium,pittieri,J. F. Macbr. ,NA,Machaerium,arborium,(Jacq.) Benth.
PSIGBI,Cucurbitaceae,Gurania,bignoniacea,(Poepp. & Endl.) C. Jeffrey,NA,Psiguria ,bignoniacea,(Poepp. & Endl.) Wunderlin
ARRACA,Bignoniaceae,Fridericia ,candicans,(Rich.) L.G. Lohmann,NA,Arrabidaea,candicans,DC.
ARRACH,Bignoniaceae,Fridericia ,chica,L.G. Lohmann,NA,Arrabidaea,chica,B. Verl.
ARRACO,Bignoniaceae,Tanaecium,dichotomum,(Jacq.) Kaehler & L.G. Lohmann ,NA,Arrabidaea,corallina,(Jacq.) Sandwith
SICYCO,Cucurbitaceae,Sicydium ,schiedeanum,Schltdl.,NA,Sicydium ,coriaceum,Cogn.
BANICO,Malpighiaceae,Bronwenia ,cornifolia,(Kunth) W.R.Anderson & C.Davis,NA,Banisteriopsis,cornifolia,(Kunth) C.B. Rob.
PHRYCO,Bignoniaceae,Bignonia ,corymbosa ,(Vent.) L.G. Lohmann,NA,Phryganocydia,corymbosa,Bureau ex K. Schum.
PIT2CR,Bignoniaceae,Amphilophium,crucigerum ,(L.) L.G. Lohmann,NA,Pithecoctenium,crucigerum,A.H. Gentry
TOURCU,Boraginaceae,Heliotropium ,cuspidatum,(Kunth) Feuillet,NA,Tournefortia,cuspidata,Kunth
SERJDE,Sapindaceae,Serjania,pyramidata,Radlk.,NA,Serjania,decapleuria,Croat
PAULFI,Sapindaceae,Paullinia,clavigera var. clavigera,Schltdl.,NA,Paullinia,fibrigera,Radlk.
LIEDFI,Asclepiadaceae,Scyphostelma,filisepalum,(Standl.) Liede y Mave,NA,Liedea,filisepala,Cynanchum filisepalum L.O. Williams
ARRAFL,Bignoniaceae,Fridericia ,florida,(DC.) L.G. Lohmann,NA,Arrabidaea,florida,DC.
PAULG1,Sapindaceae,Paullinia,fuscescens,Kunth,NA,Paullinia,fuscescens var. glabrata,Croat
MENDGR,Acanthaceae,Mendoncia,costaricana,Oerst.,NA,Mendoncia,gracilis,Turrill
BAUHGU,Fabaceae,Schnella ,guianensis,(Aubl.) Wunderlin,NA,Bauhinia,guianensis,Aubl.
ACACHA,Fabaceae,Senegalia,hayesii,Benth.(Britton & Rose),NA,Acacia,hayesii,Benth.
CYDIHE,Bignoniaceae,Bignonia,neoheterophylla,L.G. Lohmann,NA,Cydista,heterophylla,Seibert
MASCHI,Malpighiaceae,Adelphia,hiraea,(Gaertn.) W.R. Anderson,NA,Mascagnia,hiraea,(Gaertn.») Fawc. y Rendle)
TOURHI,Boraginaceae,Heliotropium  ,verdcourtii  ,Craven,NA,Tournefortia,hirsutissima,L.
MANSKE,Bignoniaceae,Pachyptera,kerere,(Aubl.) Sandwith,NA,Mansoa,kerere,(Aubl.) A.H. Gentry
ODO1MA,Apocynaceae,Odontadenia,semidigyna,(P.J.Bergius) J.F.Morales,NA,Odontadenia,macrantha,(Willd. ex Roem. & Schult.) Markgr. 
MACHM1,Fabaceae,Machaerium ,isadelphum,(E. Mey.) Amshoff,NA,Machaerium,microphyllum,(E. Mey.) Standl. 
COCCP1,Polygonaceae,Coccoloba,excelsa,Benth.,NA,Coccoloba,parimensis,Benth.
ARRAPA,Bignoniaceae,Fridericia,patellifera ,(Schltdl.) L.G. Lohmann,NA,Arrabidaea,patellifera,Sandwith
SERJPL,Sapindaceae,Serjania ,membranacea,Splitg,NA,Serjania,pluvialiflorens, Croat
ADE4PO,Fabaceae,Entada ,polystachya ,(L.) DC,NA,Entadopsis,polystachya,(L.) Britton
ODO1PU,Apocynaceae,Odontadenia,puncticulosa,(Rich.) Pulle,NA,Forsteronia,puncticulosa,(Rich.) Pulle
PAR1PY,Bignoniaceae,Tanaecium ,pyramidatum ,(Rich.) L.G. Lohmann,NA,Paragonia,pyramidata,Bureau
CYNARE,Asclepiadaceae,Tassadia,obovata,Decne.,NA,Cynanchum,recurvum,(Rusby) Spellman
DIOCRE,Fabaceae,Macropsychanthus,comosus,(G.Mey.) L.P.Queiroz & Snak,NA,Dioclea ,reflexa,Hook.f.
BAUHRE,Fabaceae,Schnella ,reflexa,(Schery) Wunderlin,NA,Bauhinia ,reflexa,Schery 
PASSPA,Passifloriaceae,Passiflora,holosericea,L.,NA,Passiflora ,reticulata,c.Wright
ACACRI,Fabaceae,Senegalia,riparia,(Kunth) Britton & Rose),NA,Acacia ,riparia,Kunth
CERATE,Bignoniaceae,Tanaecium ,tetragonolobum,(Jacq.) L.G. Lohmann ,NA,Ceratophytum,tetragonolobum,Sprague & Sandwith
MACFUN,Bignoniaceae,Dolichandra,unguis-cati,(L.) L.G. Lohmann,NA,Macfadyena,unguis-cati,(L) A.H. Gentry
ARRAVE,Bignoniaceae,Fridericia ,schumanniana,(Loes.) L.G. Lohmann,NA,Arrabidaea,verrucosa,(Standl.) A.H. Gentry
FORSVI,Apocynaceae,Forsteronia,acouci ,(Aubl.) A.DC,NA,Forsteronia,viridescens,S.F.Blake
DIOCWI,Fabaceae,Macropsychanthus ,wilsonii,Standl. L.P. Queiroz & Snak,NA,Dioclea,wilsonii,Standl.
SERJME,Sapindaceae,Serjania,mexicana,(L.) Willd.,NA,NA,NA,NA
DOLIMA,Dilleniaceae,Doliocarpus,major,J.F. Gmel.,NA,NA,NA,NA
COMBDE,Combretaceae,Combretum,decandrum,Jacq.,NA,NA,NA,NA
DOLIDE,Dilleniaceae,Doliocarpus,dentatus,(Aubl.) Standl.,NA,NA,NA,NA
PRESPO,Apocynaceae,Prestonia,portobellensis,(Beurl.) Woodson,NA,NA,NA,NA
HIRAFA,Malpighiaceae,Hiraea,fagifolia,(DC.) A. Juss.,NA,NA,NA,NA
HET1VI,Asteraceae,Heterocondylus,vitalbae,(DC.) R.M. King & H. Rob.,NA,NA,NA,NA
MACHIS,Fabaceae,Machaerium,isadelphum,(E. Mey.) Amshoff,NA,NA,NA,NA
TET3DI,Malpighiaceae,Tetrapterys,discolor,(G. Mey.) DC.,NA,NA,NA,NA
PLEOVA,Bignoniaceae,Pleonotoma,variabilis,(Jacq.) Miers ,NA,NA,NA,NA
MESETR,Apocynaceae,Mesechites,trifidus,(Jacq.) Müll. Arg.,NA,NA,NA,NA
CELTIG,Ulmaceae,Celtis,iguanaea,(Jacq.) Sarg.,NA,NA,NA,NA
PRESAC,Apocynaceae,Prestonia,quinquangularis,(Jacq.) Spreng. ,NA,NA,NA,NA
CLITJA,Fabaceae,Clitoria,javitensis,(Kunth) Benth.,NA,NA,NA,NA
MARTOB,Bignoniaceae,Martinella,obovata,(Kunth) Bureau & K. Schum. ,NA,NA,NA,NA
MASCNE,Malpighiaceae,Mascagnia,ovatifolia,(Kunth) Griseb. ,NA,NA,NA,NA
MASCDI,Malpighiaceae,Mascagnia,divaricata,(Kunth) Nied.,NA,NA,NA,NA
STIZRI,Bignoniaceae,Stizophyllum,riparium,(Kunth) Sandwith,NA,NA,NA,NA
HETELA,Malpighiaceae,Heteropterys,laurifolia,(L.) A. Juss.,NA,NA,NA,NA
ENTAPO,Fabaceae,Entada,polystachya,(L.) DC,NA,NA,NA,NA
ENTAMO,Fabaceae,Entada,gigas,(L.) Fawc. & Rendle ,NA,NA,NA,NA
TRICOC,Phytolaccaceae,Trichostigma,octandrum,(L.) H. Walter,NA,NA,NA,NA
CHIOAL,Rubiaceae,Chiococca,alba,(L.) Hitchc. ,NA,NA,NA,NA
AMPHPA,Bignoniaceae,Amphilophium,paniculatum,(L.) Kunth ,NA,NA,NA,NA
CYDIAE,Bignoniaceae,Cydista,aequinoctialis,(L.) Miers,NA,NA,NA,NA
WULFBA,Asteraceae,Tilesia,baccata,(L.) Pruski  ,NA,NA,NA,NA
