Species	Sp (Croat 1978)	Family	Fam (Croat 1978)	Life form	Lf (Croat 1978)	Source for additions
Anthurium acutangulum		Araceae		e	E	
Anthurium bakeri		Araceae		e	E	
Anthurium brownii		Araceae		e	E	
Anthurium concolor	**	Araceae		e		[Croat 8154]
Anthurium durandii	Anthurium littorale	Araceae		e	E	
Anthurium flexile		Araceae		e	E	
Anthurium friedrichsthalii		Araceae		e	E	
Anthurium gracile		Araceae		e	E	
Anthurium kunthii	**	Araceae		e		[Croat 8238]
Anthurium obtusum	**	Araceae		e		[Croat 14969]
Anthurium paludosum	**	Araceae		e		[Croat 8513]
Anthurium salvinii	**	Araceae		e		[Croat 7920]
Anthurium scandens		Araceae		e	E	
Anthurium schlechtendalii subsp. schlechtendalii 	Anthurium tetragonum	Araceae		e/t	E	
Stenospermation angustifolium		Araceae		e	E	
Oreopanax capitatus		Araliaceae		e	E	
Asplenium abscissum	Asplenium laetum	Aspleniaceae	Polypodiaceae	e	E	
Asplenium auritum		Aspleniaceae	Polypodiaceae	e	E	
Asplenium juglandifolium	Asplenium falcinellum	Aspleniaceae	Polypodiaceae	e	E	
Asplenium pteropus		Aspleniaceae	Polypodiaceae	e	E	
Asplenium serratum		Aspleniaceae	Polypodiaceae	e	E	
Hymenasplenium delitescens	Asplenium delitescens	Aspleniaceae	Polypodiaceae	e	E	
Begonia hirsuta	Begonia filipes	Begoniaceae		e	FE	
Aechmea pubescens		Bromeliaceae		e	E	
Aechmea setigera		Bromeliaceae		e	E	
Aechmea tillandsioides		Bromeliaceae		e	E	
Billbergia macrolepis		Bromeliaceae		e	E	
Catopsis sessiliflora		Bromeliaceae		e	E	
Guzmania lingulata		Bromeliaceae		e	E	
Guzmania monostachia	Guzmania monostachya	Bromeliaceae		e	E	
Pitcairnia heterophylla		Bromeliaceae		e	E	
Tillandsia anceps		Bromeliaceae		e	E	
Tillandsia bulbosa		Bromeliaceae		e	E	
Tillandsia elongata var. subimbricata	**	Bromeliaceae		e		Zotz et al. (1999)
Tillandsia fasciculata		Bromeliaceae		e	E	
Tillandsia monadelpha		Bromeliaceae		e	E	
Tillandsia subulifera		Bromeliaceae		e	E	
Vriesea gladioliflora		Bromeliaceae		e	E	
Vriesea heliconioides		Bromeliaceae		e	E	
Vriesea ringens		Bromeliaceae		e	E	
Vriesea sanguinolenta		Bromeliaceae		e	E	
Epiphyllum hookeri	**	Cactaceae		e		[Croat 8455]
Epiphyllum phyllanthus		Cactaceae		e	E	
Rhipsalis baccifera	Rhipsalis cassytha	Cactaceae		e	E	
Ludovia integrifolia		Cyclanthaceae		e	E	
Elaphoglossum doanense	**	Dryopteridaceae		e		Einzmann et al. (2015)
Elaphoglossum hayesii		Dryopteridaceae	Polypodiaceae	e	E	
Elaphoglossum latum	**	Dryopteridaceae		e		Einzmann et al. (2015)
Elaphoglossum lherminieri	Elaphoglossum herminieri	Dryopteridaceae	Polypodiaceae	e	E	
Elaphoglossum longicrure	**	Dryopteridaceae		e	E	[Croat 10860]
Elaphoglossum peltatum	**	Dryopteridaceae		e		Einzmann et al. (2015)
Elaphoglossum sporadolepis		Dryopteridaceae	Polypodiaceae	e	E	
Chrysothemis friedrichsthaliana		Gesneriaceae		e	FE	
Codonanthe crassifolia		Gesneriaceae		e	E	
